f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0007,0.0002,0.0001
2.00,0.0007,0.0001,0.0001
3.00,0.0008,0.0001,0.0001
4.00,0.0010,0.0002,0.0002
5.00,0.0010,0.0002,0.0002
6.00,0.0011,0.0002,0.0002
7.00,0.0011,0.0002,0.0002
8.00,0.0012,0.0002,0.0002
9.00,0.0006,0.0001,0.0001
10.00,0.0007,0.0001,0.0001
11.00,0.0009,0.0001,0.0001
12.00,0.0011,0.0002,0.0001
13.00,0.0014,0.0001,0.0003
14.00,0.0018,0.0003,0.0003
15.00,0.0019,0.0004,0.0002
16.00,0.0019,0.0004,0.0004
17.00,0.0023,0.0006,0.0004
18.00,0.0021,0.0005,0.0004
19.00,0.0009,0.0001,0.0001
20.00,0.0015,0.0003,0.0002
21.00,0.0026,0.0005,0.0005
22.00,0.0032,0.0008,0.0006
23.00,0.0048,0.0012,0.0008
24.00,0.0064,0.0015,0.0014
25.00,0.0073,0.0019,0.0015
26.00,0.0102,0.0028,0.0022
27.00,0.0171,0.0047,0.0040
28.00,0.0299,0.0081,0.0069
29.00,0.0726,0.0199,0.0172
30.00,0.0147,0.0038,0.0032
31.00,0.0113,0.0030,0.0026
32.00,0.0078,0.0020,0.0015
33.00,0.0075,0.0019,0.0016
34.00,0.0062,0.0016,0.0012
35.00,0.0046,0.0011,0.0008
36.00,0.0040,0.0010,0.0008
37.00,0.0037,0.0010,0.0006
38.00,0.0025,0.0005,0.0004
39.00,0.0005,0.0002,0.0002
40.00,0.0013,0.0004,0.0002
41.00,0.0019,0.0004,0.0001
42.00,0.0016,0.0003,0.0002
43.00,0.0020,0.0004,0.0002
44.00,0.0020,0.0005,0.0002
45.00,0.0016,0.0004,0.0001
46.00,0.0016,0.0003,0.0001
47.00,0.0015,0.0003,0.0002
48.00,0.0012,0.0002,0.0002
49.00,0.0002,0.0000,-0.0001
50.00,0.0008,0.0002,0.0001
51.00,0.0009,0.0002,0.0001
52.00,0.0008,0.0003,-0.0000
53.00,0.0014,0.0003,0.0001
54.00,0.0010,0.0003,0.0002
55.00,0.0011,0.0003,0.0000
56.00,0.0018,0.0004,0.0002
57.00,0.0036,0.0010,0.0004
58.00,0.0054,0.0010,0.0009
59.00,0.0012,0.0002,0.0001
60.00,0.0010,0.0002,0.0000
61.00,0.0007,0.0001,0.0000
62.00,0.0006,0.0002,0.0001
63.00,0.0009,0.0001,0.0002
64.00,0.0009,-0.0003,0.0001
65.00,0.0008,0.0001,0.0001
66.00,0.0007,0.0000,-0.0000
67.00,0.0008,0.0002,0.0001
68.00,0.0005,0.0000,-0.0001
69.00,0.0001,-0.0001,-0.0001
70.00,0.0005,0.0000,0.0001
71.00,0.0005,0.0000,-0.0000
72.00,0.0003,-0.0001,-0.0001
73.00,0.0005,0.0001,-0.0001
74.00,0.0005,0.0001,-0.0001
75.00,0.0004,0.0000,-0.0000
76.00,0.0005,0.0001,-0.0000
77.00,0.0003,0.0001,0.0000
78.00,0.0002,-0.0001,0.0001
79.00,0.0001,0.0001,0.0001
80.00,0.0003,0.0000,0.0000
81.00,0.0003,0.0001,-0.0001
82.00,0.0004,0.0000,0.0000
83.00,0.0004,0.0002,-0.0001
84.00,0.0004,0.0002,0.0001
85.00,0.0005,0.0003,-0.0000
86.00,0.0013,0.0012,0.0000
87.00,0.0010,0.0009,0.0000
88.00,0.0004,0.0003,0.0002
89.00,0.0003,0.0001,0.0001
90.00,0.0003,0.0001,0.0000
91.00,0.0004,0.0001,0.0000
92.00,0.0003,0.0000,0.0000
93.00,0.0003,0.0001,-0.0000
94.00,0.0004,0.0001,0.0000
