f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0007,0.0002,0.0001
2.00,0.0007,0.0002,0.0001
3.00,0.0007,0.0001,0.0001
4.00,0.0008,0.0002,0.0002
5.00,0.0010,0.0002,0.0002
6.00,0.0010,0.0002,0.0002
7.00,0.0012,0.0002,0.0003
8.00,0.0009,0.0003,0.0001
9.00,0.0009,0.0002,0.0002
10.00,0.0011,0.0003,0.0002
11.00,0.0012,0.0003,0.0002
12.00,0.0011,0.0003,0.0000
13.00,0.0013,0.0003,0.0002
14.00,0.0015,0.0003,0.0003
15.00,0.0020,0.0004,0.0004
16.00,0.0021,0.0005,0.0005
17.00,0.0020,0.0004,0.0003
18.00,0.0027,0.0006,0.0004
19.00,0.0020,0.0006,0.0004
20.00,0.0023,0.0006,0.0005
21.00,0.0036,0.0009,0.0006
22.00,0.0036,0.0010,0.0007
23.00,0.0038,0.0010,0.0008
24.00,0.0066,0.0018,0.0013
25.00,0.0089,0.0026,0.0019
26.00,0.0101,0.0030,0.0022
27.00,0.0188,0.0056,0.0042
28.00,0.0496,0.0150,0.0112
29.00,0.0460,0.0140,0.0105
30.00,0.0195,0.0057,0.0043
31.00,0.0117,0.0035,0.0024
32.00,0.0068,0.0018,0.0014
33.00,0.0060,0.0018,0.0012
34.00,0.0055,0.0015,0.0011
35.00,0.0049,0.0014,0.0010
36.00,0.0037,0.0010,0.0007
37.00,0.0032,0.0009,0.0005
38.00,0.0030,0.0008,0.0004
39.00,0.0020,0.0004,0.0002
40.00,0.0020,0.0004,0.0003
41.00,0.0024,0.0006,0.0004
42.00,0.0017,0.0003,0.0002
43.00,0.0016,0.0003,0.0003
44.00,0.0019,0.0004,0.0003
45.00,0.0018,0.0004,0.0003
46.00,0.0013,0.0003,0.0002
47.00,0.0015,0.0002,0.0002
48.00,0.0014,0.0002,0.0001
49.00,0.0008,0.0002,0.0001
50.00,0.0014,0.0002,0.0002
51.00,0.0012,0.0002,0.0002
52.00,0.0007,0.0000,0.0001
53.00,0.0012,0.0002,0.0002
54.00,0.0014,0.0002,0.0002
55.00,0.0013,0.0002,0.0003
56.00,0.0016,0.0005,0.0002
57.00,0.0088,0.0020,0.0017
58.00,0.0014,0.0000,0.0001
59.00,0.0011,0.0001,0.0001
60.00,0.0007,0.0004,0.0001
61.00,0.0009,0.0002,0.0002
62.00,0.0007,-0.0000,0.0002
63.00,0.0006,0.0002,0.0002
64.00,0.0006,0.0005,0.0002
65.00,0.0008,0.0001,0.0001
66.00,0.0006,0.0002,-0.0000
67.00,0.0005,0.0003,0.0001
68.00,0.0005,0.0003,0.0002
69.00,0.0004,0.0000,0.0001
70.00,0.0006,0.0000,0.0001
71.00,0.0006,0.0000,0.0000
72.00,0.0005,0.0000,0.0000
73.00,0.0003,0.0003,0.0001
74.00,0.0006,0.0001,-0.0001
75.00,0.0005,0.0001,0.0001
76.00,0.0004,0.0001,0.0001
77.00,0.0004,0.0001,0.0000
78.00,0.0004,0.0001,0.0001
79.00,0.0004,0.0000,0.0000
80.00,0.0003,0.0000,-0.0001
81.00,0.0006,0.0001,0.0001
82.00,0.0004,0.0001,0.0001
83.00,0.0005,0.0002,0.0000
84.00,0.0005,0.0004,0.0001
85.00,0.0009,0.0013,0.0003
86.00,0.0010,0.0011,0.0002
87.00,0.0005,0.0007,0.0000
88.00,0.0005,0.0002,0.0000
89.00,0.0002,0.0001,0.0003
90.00,0.0004,0.0003,0.0002
91.00,0.0004,0.0001,0.0001
92.00,0.0004,-0.0000,0.0000
93.00,0.0003,0.0001,0.0000
94.00,0.0003,0.0001,0.0000
95.00,0.0003,0.0002,0.0001
