f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0005,0.0001,0.0002
2.00,0.0005,0.0002,0.0001
3.00,0.0005,0.0001,0.0001
4.00,0.0005,0.0001,0.0001
5.00,0.0005,0.0001,0.0001
6.00,0.0005,0.0001,0.0000
7.00,0.0004,0.0001,0.0001
8.00,0.0005,0.0001,-0.0000
9.00,0.0006,0.0000,0.0001
10.00,0.0005,0.0001,0.0001
11.00,0.0008,0.0001,0.0001
12.00,0.0008,0.0001,0.0001
13.00,0.0010,0.0001,0.0000
14.00,0.0010,0.0001,0.0002
15.00,0.0009,0.0002,0.0001
16.00,0.0010,0.0002,0.0001
17.00,0.0008,0.0001,0.0002
18.00,0.0012,0.0002,0.0003
19.00,0.0018,0.0003,0.0002
20.00,0.0019,0.0004,0.0004
21.00,0.0027,0.0005,0.0003
22.00,0.0036,0.0006,0.0008
23.00,0.0042,0.0008,0.0008
24.00,0.0055,0.0010,0.0011
25.00,0.0077,0.0016,0.0017
26.00,0.0160,0.0034,0.0037
27.00,0.0374,0.0078,0.0090
28.00,0.0147,0.0030,0.0033
29.00,0.0084,0.0015,0.0019
30.00,0.0055,0.0011,0.0011
31.00,0.0050,0.0009,0.0011
32.00,0.0036,0.0007,0.0008
33.00,0.0032,0.0005,0.0007
34.00,0.0021,0.0004,0.0003
35.00,0.0019,0.0003,0.0004
36.00,0.0015,0.0001,0.0003
37.00,0.0009,0.0001,0.0001
38.00,0.0011,0.0001,0.0001
39.00,0.0014,0.0002,0.0002
40.00,0.0010,0.0003,0.0001
41.00,0.0014,0.0005,0.0002
42.00,0.0011,0.0004,0.0002
43.00,0.0009,0.0003,0.0002
44.00,0.0008,0.0003,0.0001
45.00,0.0008,0.0002,0.0001
46.00,0.0005,0.0003,0.0002
47.00,0.0004,0.0004,0.0002
48.00,0.0005,0.0005,0.0002
49.00,0.0007,0.0007,0.0001
50.00,0.0009,0.0010,0.0002
51.00,0.0006,0.0011,0.0001
52.00,0.0008,0.0015,0.0003
53.00,0.0015,0.0048,0.0010
54.00,0.0011,0.0064,0.0013
55.00,0.0006,0.0034,0.0005
56.00,0.0005,0.0018,0.0002
57.00,0.0003,0.0009,0.0001
58.00,0.0004,0.0007,0.0001
59.00,0.0005,0.0006,0.0003
60.00,0.0004,0.0004,0.0002
61.00,0.0004,0.0002,0.0002
62.00,0.0004,0.0002,0.0000
63.00,0.0003,0.0002,0.0002
64.00,0.0002,0.0000,0.0001
65.00,0.0003,0.0001,0.0001
66.00,0.0003,0.0002,0.0000
67.00,0.0002,0.0002,0.0001
68.00,0.0002,0.0003,0.0001
69.00,0.0004,0.0001,0.0002
70.00,0.0002,0.0001,0.0000
71.00,0.0004,0.0000,0.0000
72.00,0.0003,0.0002,0.0001
