f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0006,0.0002,0.0002
2.00,0.0007,0.0001,0.0001
3.00,0.0007,0.0001,0.0001
4.00,0.0007,0.0001,0.0001
5.00,0.0008,0.0002,0.0001
6.00,0.0008,0.0001,0.0001
7.00,0.0008,0.0001,0.0001
8.00,0.0005,0.0001,0.0001
9.00,0.0005,0.0001,-0.0000
10.00,0.0007,0.0002,0.0001
11.00,0.0008,0.0002,0.0001
12.00,0.0012,0.0003,0.0002
13.00,0.0015,0.0003,0.0003
14.00,0.0015,0.0003,0.0003
15.00,0.0014,0.0003,0.0001
16.00,0.0016,0.0003,0.0002
17.00,0.0015,0.0003,0.0002
18.00,0.0005,0.0001,0.0001
19.00,0.0013,0.0003,0.0003
20.00,0.0021,0.0005,0.0003
21.00,0.0023,0.0005,0.0004
22.00,0.0037,0.0008,0.0008
23.00,0.0049,0.0012,0.0011
24.00,0.0056,0.0014,0.0011
25.00,0.0066,0.0017,0.0014
26.00,0.0107,0.0027,0.0023
27.00,0.0189,0.0049,0.0044
28.00,0.0531,0.0145,0.0129
29.00,0.0130,0.0035,0.0030
30.00,0.0093,0.0025,0.0021
31.00,0.0055,0.0013,0.0013
32.00,0.0058,0.0015,0.0013
33.00,0.0047,0.0012,0.0010
34.00,0.0036,0.0008,0.0008
35.00,0.0026,0.0007,0.0006
36.00,0.0025,0.0006,0.0005
37.00,0.0015,0.0004,0.0003
38.00,0.0004,0.0001,0.0001
39.00,0.0011,0.0002,0.0003
40.00,0.0013,0.0003,0.0001
41.00,0.0013,0.0002,0.0002
42.00,0.0015,0.0004,0.0002
43.00,0.0013,0.0002,0.0002
44.00,0.0013,0.0004,0.0002
45.00,0.0010,0.0001,0.0002
46.00,0.0010,0.0002,0.0001
47.00,0.0006,0.0000,0.0001
48.00,0.0002,0.0001,-0.0001
49.00,0.0005,0.0002,0.0001
50.00,0.0007,0.0001,0.0002
51.00,0.0006,0.0001,0.0002
52.00,0.0007,0.0004,0.0002
53.00,0.0008,0.0002,0.0002
54.00,0.0007,0.0004,0.0004
55.00,0.0019,0.0008,0.0009
56.00,0.0035,0.0014,0.0017
57.00,0.0010,0.0001,0.0002
58.00,0.0007,0.0001,0.0004
59.00,0.0006,0.0001,0.0002
60.00,0.0006,0.0002,0.0002
61.00,0.0006,0.0001,0.0001
62.00,0.0005,0.0000,0.0002
63.00,0.0005,0.0001,0.0002
64.00,0.0006,0.0001,0.0001
65.00,0.0004,0.0000,-0.0001
66.00,0.0004,0.0001,0.0001
67.00,0.0003,0.0001,0.0001
68.00,0.0004,0.0000,0.0000
69.00,0.0003,0.0000,0.0001
70.00,0.0003,0.0000,-0.0001
71.00,0.0003,-0.0000,0.0001
72.00,0.0004,0.0000,0.0001
73.00,0.0004,0.0001,-0.0000
74.00,0.0004,0.0000,-0.0001
75.00,0.0002,0.0000,0.0000
76.00,0.0004,0.0000,0.0001
77.00,0.0003,0.0000,-0.0000
78.00,0.0001,0.0002,-0.0000
79.00,0.0002,0.0000,0.0002
80.00,0.0003,0.0000,0.0002
81.00,0.0003,0.0001,0.0001
82.00,0.0004,0.0003,0.0002
83.00,0.0007,0.0009,0.0002
84.00,0.0010,0.0012,0.0005
85.00,0.0006,0.0006,0.0002
86.00,0.0003,0.0003,0.0000
87.00,0.0002,0.0002,-0.0000
88.00,0.0001,0.0001,0.0002
89.00,0.0001,0.0001,0.0001
90.00,0.0004,0.0000,-0.0000
91.00,0.0002,0.0001,0.0001
92.00,0.0001,0.0001,0.0002
93.00,0.0002,0.0001,0.0001
94.00,0.0002,0.0001,0.0001
95.00,0.0002,0.0000,0.0002
96.00,0.0003,-0.0000,0.0001
97.00,0.0002,0.0001,0.0002
98.00,0.0002,0.0001,0.0001
99.00,0.0001,0.0001,0.0001
100.00,0.0003,0.0001,0.0001
101.00,0.0002,0.0001,0.0002
102.00,0.0002,0.0001,0.0002
103.00,0.0002,0.0002,0.0002
104.00,0.0002,0.0002,0.0003
105.00,0.0001,0.0002,0.0004
106.00,0.0003,0.0002,0.0002
107.00,0.0005,0.0003,0.0004
108.00,0.0003,0.0003,0.0005
109.00,0.0004,0.0005,0.0009
110.00,0.0016,0.0019,0.0022
111.00,0.0025,0.0027,0.0032
112.00,0.0037,0.0041,0.0055
113.00,0.0024,0.0025,0.0034
114.00,0.0008,0.0010,0.0012
115.00,0.0006,0.0005,0.0007
116.00,0.0004,0.0004,0.0005
117.00,0.0003,0.0005,0.0005
118.00,0.0002,0.0002,0.0001
119.00,0.0001,0.0001,0.0002
120.00,0.0002,0.0001,0.0004
121.00,0.0001,0.0001,0.0002
122.00,0.0001,0.0001,0.0002
123.00,0.0003,0.0001,0.0003
124.00,0.0002,0.0002,0.0004
125.00,0.0003,-0.0000,0.0003
126.00,0.0003,0.0000,0.0003
127.00,0.0002,0.0001,0.0002
128.00,0.0002,0.0001,0.0004
129.00,0.0004,0.0001,0.0002
130.00,0.0003,-0.0000,0.0002
131.00,0.0003,0.0000,0.0002
132.00,0.0004,0.0000,0.0002
133.00,0.0006,0.0001,0.0004
134.00,0.0006,0.0000,0.0005
135.00,0.0008,0.0002,0.0006
136.00,0.0010,0.0001,0.0006
137.00,0.0015,0.0002,0.0007
138.00,0.0036,0.0006,0.0019
139.00,0.0051,0.0009,0.0032
140.00,0.0080,0.0012,0.0050
141.00,0.0049,0.0008,0.0030
142.00,0.0023,0.0002,0.0012
143.00,0.0011,0.0000,0.0007
144.00,0.0011,0.0001,0.0007
145.00,0.0009,0.0001,0.0004
146.00,0.0007,0.0001,0.0003
147.00,0.0005,0.0001,0.0003
148.00,0.0005,0.0001,0.0002
149.00,0.0005,0.0001,0.0001
150.00,0.0003,0.0001,0.0002
151.00,0.0005,-0.0000,0.0002
152.00,0.0006,-0.0000,0.0002
153.00,0.0004,-0.0000,0.0003
154.00,0.0004,0.0001,0.0002
155.00,0.0004,-0.0000,0.0004
156.00,0.0004,0.0001,0.0003
157.00,0.0003,0.0000,0.0004
158.00,0.0003,-0.0000,0.0004
159.00,0.0004,0.0001,0.0005
160.00,0.0004,0.0000,0.0005
161.00,0.0005,0.0000,0.0005
162.00,0.0005,0.0001,0.0010
163.00,0.0006,0.0002,0.0012
164.00,0.0006,0.0001,0.0017
165.00,0.0014,0.0002,0.0032
166.00,0.0024,0.0004,0.0054
167.00,0.0031,0.0005,0.0062
168.00,0.0042,0.0013,0.0090
169.00,0.0026,0.0008,0.0054
170.00,0.0010,0.0002,0.0025
171.00,0.0006,0.0002,0.0014
172.00,0.0008,0.0001,0.0014
173.00,0.0006,0.0001,0.0012
