f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0007,0.0003,0.0001
2.00,0.0007,0.0002,0.0001
3.00,0.0007,0.0002,0.0001
4.00,0.0009,0.0002,0.0002
5.00,0.0009,0.0003,0.0002
6.00,0.0010,0.0003,0.0002
7.00,0.0010,0.0004,0.0002
8.00,0.0012,0.0003,0.0002
9.00,0.0008,0.0001,0.0001
10.00,0.0007,0.0001,0.0001
11.00,0.0009,0.0001,0.0001
12.00,0.0010,0.0002,0.0001
13.00,0.0012,0.0001,0.0003
14.00,0.0018,0.0004,0.0004
15.00,0.0017,0.0004,0.0003
16.00,0.0019,0.0005,0.0003
17.00,0.0021,0.0006,0.0003
18.00,0.0024,0.0007,0.0004
19.00,0.0011,0.0002,0.0002
20.00,0.0016,0.0005,0.0002
21.00,0.0025,0.0007,0.0003
22.00,0.0031,0.0008,0.0006
23.00,0.0043,0.0010,0.0008
24.00,0.0066,0.0016,0.0013
25.00,0.0073,0.0019,0.0014
26.00,0.0105,0.0029,0.0022
27.00,0.0173,0.0047,0.0039
28.00,0.0372,0.0102,0.0087
29.00,0.0662,0.0182,0.0157
30.00,0.0163,0.0043,0.0036
31.00,0.0111,0.0030,0.0025
32.00,0.0078,0.0020,0.0014
33.00,0.0070,0.0017,0.0013
34.00,0.0066,0.0016,0.0012
35.00,0.0047,0.0012,0.0009
36.00,0.0042,0.0009,0.0007
37.00,0.0040,0.0008,0.0007
38.00,0.0030,0.0007,0.0005
39.00,0.0010,0.0002,0.0001
40.00,0.0016,0.0004,0.0003
41.00,0.0020,0.0004,0.0002
42.00,0.0016,0.0003,0.0002
43.00,0.0021,0.0004,0.0002
44.00,0.0021,0.0005,0.0002
45.00,0.0017,0.0003,0.0001
46.00,0.0017,0.0004,0.0002
47.00,0.0018,0.0004,0.0004
48.00,0.0013,0.0003,0.0002
49.00,0.0003,-0.0000,0.0000
50.00,0.0009,0.0002,0.0000
51.00,0.0009,0.0002,0.0001
52.00,0.0009,0.0002,0.0001
53.00,0.0012,0.0003,0.0002
54.00,0.0013,0.0002,0.0002
55.00,0.0013,0.0002,-0.0000
56.00,0.0018,0.0003,0.0000
57.00,0.0047,0.0011,0.0006
