f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0007,0.0002,0.0002
2.00,0.0007,0.0002,0.0001
3.00,0.0006,0.0001,0.0001
4.00,0.0006,0.0002,0.0002
5.00,0.0007,0.0002,0.0002
6.00,0.0006,0.0003,0.0002
7.00,0.0009,0.0003,0.0001
8.00,0.0009,0.0003,0.0002
9.00,0.0007,0.0001,0.0002
10.00,0.0007,0.0001,0.0001
11.00,0.0008,0.0001,0.0001
12.00,0.0010,0.0002,0.0002
13.00,0.0010,0.0003,0.0003
14.00,0.0014,0.0003,0.0002
15.00,0.0017,0.0004,0.0004
16.00,0.0015,0.0003,0.0004
17.00,0.0018,0.0006,0.0005
18.00,0.0022,0.0006,0.0004
19.00,0.0014,0.0003,0.0004
20.00,0.0019,0.0004,0.0005
21.00,0.0027,0.0008,0.0005
22.00,0.0027,0.0007,0.0006
23.00,0.0043,0.0011,0.0011
24.00,0.0061,0.0016,0.0015
25.00,0.0074,0.0020,0.0018
26.00,0.0097,0.0026,0.0025
27.00,0.0170,0.0048,0.0046
28.00,0.0378,0.0106,0.0103
29.00,0.0608,0.0172,0.0168
30.00,0.0169,0.0046,0.0044
31.00,0.0119,0.0032,0.0030
32.00,0.0065,0.0016,0.0017
33.00,0.0070,0.0017,0.0017
34.00,0.0068,0.0017,0.0014
35.00,0.0047,0.0010,0.0009
36.00,0.0038,0.0007,0.0008
37.00,0.0040,0.0010,0.0010
38.00,0.0030,0.0006,0.0006
39.00,0.0015,0.0004,0.0003
40.00,0.0018,0.0004,0.0001
41.00,0.0021,0.0004,0.0004
42.00,0.0018,0.0003,0.0004
43.00,0.0020,0.0004,0.0005
44.00,0.0023,0.0004,0.0004
45.00,0.0019,0.0004,0.0004
46.00,0.0015,0.0003,0.0003
47.00,0.0018,0.0002,0.0002
48.00,0.0014,0.0002,0.0002
49.00,0.0008,0.0001,0.0002
50.00,0.0011,0.0003,0.0002
51.00,0.0010,0.0001,0.0002
52.00,0.0010,0.0001,0.0002
53.00,0.0011,0.0002,0.0002
54.00,0.0013,0.0003,0.0001
55.00,0.0013,0.0004,0.0004
56.00,0.0017,0.0004,0.0004
57.00,0.0058,0.0017,0.0009
58.00,0.0034,0.0009,0.0004
59.00,0.0012,0.0004,-0.0000
60.00,0.0011,0.0003,0.0001
61.00,0.0007,0.0002,0.0001
62.00,0.0005,0.0001,0.0001
63.00,0.0010,0.0002,0.0002
64.00,0.0010,0.0001,0.0002
65.00,0.0009,0.0001,0.0002
66.00,0.0008,0.0001,0.0001
67.00,0.0009,0.0001,0.0002
68.00,0.0006,0.0002,0.0001
69.00,0.0003,0.0001,0.0000
70.00,0.0006,0.0000,0.0002
71.00,0.0006,0.0001,0.0002
72.00,0.0005,0.0000,0.0001
73.00,0.0009,0.0001,0.0001
74.00,0.0008,0.0002,0.0001
75.00,0.0006,0.0001,0.0001
76.00,0.0006,0.0000,0.0002
77.00,0.0007,0.0004,0.0001
78.00,0.0004,0.0000,-0.0001
79.00,0.0003,0.0001,0.0000
80.00,0.0004,0.0001,0.0001
81.00,0.0003,0.0001,0.0001
82.00,0.0004,0.0000,0.0001
83.00,0.0006,0.0001,0.0001
84.00,0.0007,0.0002,0.0001
85.00,0.0006,0.0002,0.0001
86.00,0.0009,0.0012,0.0003
87.00,0.0009,0.0004,0.0001
88.00,0.0005,0.0001,0.0002
89.00,0.0003,0.0001,-0.0001
90.00,0.0004,0.0001,0.0000
91.00,0.0002,0.0001,0.0001
92.00,0.0003,0.0000,0.0001
93.00,0.0006,0.0000,-0.0000
94.00,0.0005,0.0000,0.0000
95.00,0.0004,0.0000,0.0001
96.00,0.0004,0.0001,0.0000
97.00,0.0005,0.0001,0.0001
98.00,0.0003,0.0001,-0.0001
99.00,0.0002,0.0001,0.0002
100.00,0.0003,0.0003,0.0001
101.00,0.0003,0.0001,0.0001
102.00,0.0002,0.0001,0.0002
103.00,0.0005,0.0001,-0.0000
104.00,0.0004,0.0001,0.0001
105.00,0.0003,0.0001,0.0001
106.00,0.0003,0.0002,0.0001
107.00,0.0005,0.0000,0.0001
108.00,0.0003,0.0002,0.0002
109.00,0.0002,0.0003,0.0001
110.00,0.0005,0.0005,0.0004
111.00,0.0004,0.0005,0.0003
112.00,0.0005,0.0007,0.0004
113.00,0.0011,0.0012,0.0007
114.00,0.0021,0.0030,0.0018
115.00,0.0039,0.0055,0.0035
116.00,0.0018,0.0023,0.0015
