f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0008,0.0002,0.0002
2.00,0.0008,0.0002,0.0001
3.00,0.0008,0.0001,0.0002
4.00,0.0009,0.0001,0.0002
5.00,0.0009,0.0001,0.0002
6.00,0.0009,0.0001,0.0002
7.00,0.0010,0.0002,0.0002
8.00,0.0008,0.0001,0.0001
9.00,0.0007,0.0000,0.0001
10.00,0.0009,0.0001,0.0002
11.00,0.0009,0.0000,0.0002
12.00,0.0009,0.0001,0.0000
13.00,0.0014,0.0001,0.0001
14.00,0.0015,0.0002,0.0004
15.00,0.0014,0.0002,0.0002
16.00,0.0017,0.0002,0.0003
17.00,0.0019,0.0003,0.0004
18.00,0.0011,0.0002,0.0001
19.00,0.0016,0.0002,0.0003
20.00,0.0023,0.0003,0.0004
21.00,0.0023,0.0003,0.0002
22.00,0.0030,0.0006,0.0007
23.00,0.0053,0.0009,0.0012
24.00,0.0061,0.0011,0.0014
25.00,0.0072,0.0014,0.0016
26.00,0.0132,0.0027,0.0032
27.00,0.0306,0.0062,0.0075
28.00,0.0458,0.0092,0.0115
29.00,0.0125,0.0023,0.0030
30.00,0.0090,0.0016,0.0019
31.00,0.0047,0.0008,0.0010
32.00,0.0047,0.0011,0.0010
33.00,0.0051,0.0009,0.0010
34.00,0.0036,0.0005,0.0007
35.00,0.0028,0.0004,0.0005
36.00,0.0028,0.0004,0.0005
37.00,0.0022,0.0003,0.0003
38.00,0.0007,0.0002,0.0001
39.00,0.0013,0.0002,0.0001
40.00,0.0015,0.0002,0.0002
41.00,0.0010,0.0002,0.0002
42.00,0.0014,0.0003,0.0002
43.00,0.0016,0.0002,0.0001
44.00,0.0013,0.0004,0.0002
45.00,0.0011,0.0002,0.0002
46.00,0.0011,0.0001,0.0002
47.00,0.0010,0.0003,0.0001
48.00,0.0004,0.0002,0.0001
49.00,0.0006,0.0003,0.0002
50.00,0.0009,0.0005,0.0000
51.00,0.0007,0.0007,0.0001
52.00,0.0008,0.0008,0.0001
53.00,0.0009,0.0010,0.0001
54.00,0.0011,0.0021,0.0004
55.00,0.0018,0.0069,0.0017
56.00,0.0012,0.0048,0.0013
57.00,0.0005,0.0017,0.0003
58.00,0.0004,0.0010,0.0002
59.00,0.0004,0.0008,0.0001
60.00,0.0006,0.0004,0.0001
61.00,0.0004,0.0003,0.0002
62.00,0.0007,0.0003,0.0001
63.00,0.0006,0.0002,0.0001
64.00,0.0004,0.0002,0.0001
65.00,0.0005,0.0002,0.0001
66.00,0.0005,0.0002,-0.0000
67.00,0.0003,0.0001,0.0002
68.00,0.0002,0.0001,0.0000
69.00,0.0004,0.0001,0.0002
70.00,0.0004,0.0003,0.0001
71.00,0.0002,0.0003,-0.0000
72.00,0.0005,0.0001,0.0001
73.00,0.0004,0.0001,0.0001
74.00,0.0004,0.0001,0.0002
75.00,0.0002,0.0003,-0.0000
76.00,0.0004,0.0002,0.0000
77.00,0.0003,0.0002,-0.0000
78.00,0.0002,0.0003,0.0001
79.00,0.0003,0.0004,0.0000
80.00,0.0003,0.0005,0.0003
81.00,0.0003,0.0007,0.0002
82.00,0.0007,0.0017,0.0003
83.00,0.0011,0.0037,0.0008
84.00,0.0010,0.0026,0.0004
85.00,0.0005,0.0013,0.0002
86.00,0.0005,0.0007,0.0002
87.00,0.0004,0.0005,0.0000
88.00,0.0001,0.0005,0.0001
89.00,0.0003,0.0003,0.0002
90.00,0.0003,0.0003,-0.0000
91.00,0.0001,0.0002,0.0001
92.00,0.0003,0.0001,0.0000
93.00,0.0002,0.0002,0.0003
94.00,0.0003,0.0001,0.0000
95.00,0.0003,0.0002,0.0001
96.00,0.0003,0.0002,-0.0000
97.00,0.0002,0.0001,-0.0000
98.00,0.0003,0.0001,-0.0001
99.00,0.0002,0.0002,0.0001
100.00,0.0004,0.0003,0.0001
101.00,0.0003,0.0000,0.0001
102.00,0.0004,0.0001,0.0001
103.00,0.0003,0.0001,0.0004
104.00,0.0004,0.0001,0.0000
105.00,0.0006,0.0003,0.0001
106.00,0.0007,0.0004,0.0002
107.00,0.0006,0.0004,0.0004
108.00,0.0010,0.0005,0.0004
109.00,0.0020,0.0013,0.0013
110.00,0.0037,0.0019,0.0023
111.00,0.0056,0.0030,0.0034
112.00,0.0047,0.0026,0.0030
113.00,0.0019,0.0010,0.0011
114.00,0.0010,0.0004,0.0006
115.00,0.0007,0.0003,0.0006
116.00,0.0006,0.0003,0.0007
117.00,0.0004,0.0002,0.0004
118.00,0.0003,0.0001,0.0004
119.00,0.0003,0.0000,0.0004
120.00,0.0004,0.0001,0.0002
121.00,0.0002,0.0000,0.0002
122.00,0.0003,0.0001,0.0002
123.00,0.0003,0.0001,0.0004
124.00,0.0003,0.0002,0.0003
125.00,0.0002,0.0001,0.0004
126.00,0.0003,0.0001,0.0002
127.00,0.0003,0.0000,0.0001
128.00,0.0002,0.0001,0.0004
129.00,0.0002,0.0003,0.0003
130.00,0.0002,0.0002,0.0004
131.00,0.0004,0.0003,0.0006
132.00,0.0003,0.0002,0.0005
133.00,0.0006,0.0002,0.0007
134.00,0.0008,0.0003,0.0009
135.00,0.0009,0.0005,0.0010
136.00,0.0013,0.0007,0.0013
137.00,0.0023,0.0014,0.0023
138.00,0.0042,0.0027,0.0047
139.00,0.0058,0.0040,0.0071
140.00,0.0049,0.0033,0.0059
141.00,0.0022,0.0014,0.0029
142.00,0.0011,0.0007,0.0012
143.00,0.0008,0.0005,0.0009
144.00,0.0006,0.0004,0.0008
145.00,0.0005,0.0004,0.0007
146.00,0.0004,0.0002,0.0004
147.00,0.0003,0.0002,0.0003
148.00,0.0003,0.0001,0.0003
149.00,0.0004,0.0001,0.0001
150.00,0.0003,0.0001,0.0005
151.00,0.0004,0.0001,0.0005
152.00,0.0002,0.0002,0.0004
153.00,0.0005,0.0002,0.0005
154.00,0.0004,0.0002,0.0006
155.00,0.0004,0.0001,0.0006
156.00,0.0003,0.0001,0.0005
157.00,0.0003,0.0003,0.0006
158.00,0.0004,0.0001,0.0007
159.00,0.0004,0.0001,0.0005
160.00,0.0005,0.0000,0.0010
161.00,0.0006,0.0001,0.0014
162.00,0.0009,0.0002,0.0017
163.00,0.0011,0.0002,0.0021
164.00,0.0019,0.0001,0.0036
165.00,0.0035,0.0003,0.0061
166.00,0.0042,0.0007,0.0073
167.00,0.0064,0.0011,0.0102
168.00,0.0033,0.0007,0.0053
169.00,0.0016,0.0001,0.0021
170.00,0.0012,0.0002,0.0018
171.00,0.0007,0.0001,0.0011
172.00,0.0007,0.0001,0.0011
173.00,0.0005,-0.0000,0.0008
174.00,0.0005,0.0000,0.0008
175.00,0.0004,0.0000,0.0006
176.00,0.0004,-0.0000,0.0005
177.00,0.0004,0.0000,0.0003
178.00,0.0005,-0.0000,0.0004
179.00,0.0005,0.0000,0.0002
180.00,0.0004,0.0001,0.0004
181.00,0.0004,-0.0000,0.0005
182.00,0.0005,-0.0000,0.0004
183.00,0.0006,0.0001,0.0001
184.00,0.0004,0.0000,0.0001
185.00,0.0003,0.0001,0.0002
186.00,0.0007,0.0001,0.0003
187.00,0.0006,0.0001,0.0002
188.00,0.0009,0.0001,0.0005
189.00,0.0013,0.0001,0.0005
190.00,0.0017,0.0003,0.0004
191.00,0.0022,0.0004,0.0009
192.00,0.0039,0.0008,0.0013
193.00,0.0048,0.0009,0.0018
194.00,0.0077,0.0014,0.0032
195.00,0.0131,0.0021,0.0055
196.00,0.0059,0.0010,0.0025
197.00,0.0031,0.0006,0.0012
198.00,0.0019,0.0002,0.0008
199.00,0.0018,0.0003,0.0007
200.00,0.0012,0.0002,0.0005
201.00,0.0009,0.0000,0.0003
202.00,0.0008,0.0000,0.0004
203.00,0.0008,0.0001,0.0002
204.00,0.0005,0.0000,0.0003
205.00,0.0005,0.0000,0.0003
206.00,0.0005,0.0001,0.0003
207.00,0.0006,0.0001,0.0004
208.00,0.0004,0.0001,0.0003
209.00,0.0006,0.0002,0.0005
210.00,0.0006,0.0000,0.0002
211.00,0.0005,-0.0000,0.0002
212.00,0.0005,-0.0000,0.0001
213.00,0.0007,0.0000,0.0001
214.00,0.0004,0.0000,0.0003
215.00,0.0008,0.0001,0.0005
216.00,0.0010,-0.0000,0.0008
217.00,0.0013,0.0002,0.0009
218.00,0.0013,0.0000,0.0011
219.00,0.0031,0.0002,0.0022
220.00,0.0047,0.0006,0.0036
221.00,0.0046,0.0006,0.0039
222.00,0.0082,0.0011,0.0075
223.00,0.0101,0.0015,0.0096
224.00,0.0033,0.0003,0.0030
225.00,0.0019,0.0002,0.0015
226.00,0.0014,0.0001,0.0012
