f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0005,0.0001,0.0002
2.00,0.0005,0.0002,0.0001
3.00,0.0004,0.0002,0.0001
4.00,0.0005,0.0002,0.0001
5.00,0.0006,0.0001,0.0001
6.00,0.0007,0.0001,0.0002
7.00,0.0007,0.0002,0.0002
8.00,0.0006,0.0001,0.0001
9.00,0.0006,0.0002,0.0000
10.00,0.0008,0.0002,0.0002
11.00,0.0010,0.0001,0.0002
12.00,0.0009,0.0002,0.0001
13.00,0.0009,0.0002,0.0001
14.00,0.0012,0.0002,0.0002
15.00,0.0014,0.0003,0.0003
16.00,0.0015,0.0003,0.0002
17.00,0.0014,0.0003,0.0001
18.00,0.0020,0.0005,0.0003
19.00,0.0016,0.0004,0.0002
20.00,0.0022,0.0005,0.0002
21.00,0.0028,0.0008,0.0004
22.00,0.0027,0.0006,0.0004
23.00,0.0028,0.0009,0.0005
24.00,0.0047,0.0014,0.0009
25.00,0.0064,0.0019,0.0011
26.00,0.0080,0.0024,0.0014
27.00,0.0128,0.0042,0.0026
28.00,0.0447,0.0149,0.0094
29.00,0.0379,0.0127,0.0078
30.00,0.0142,0.0047,0.0029
31.00,0.0089,0.0029,0.0016
32.00,0.0052,0.0016,0.0011
33.00,0.0038,0.0010,0.0006
34.00,0.0043,0.0013,0.0007
35.00,0.0037,0.0009,0.0006
36.00,0.0025,0.0008,0.0004
37.00,0.0022,0.0005,0.0003
38.00,0.0021,0.0007,0.0004
39.00,0.0014,0.0004,0.0002
40.00,0.0017,0.0005,0.0002
41.00,0.0017,0.0005,0.0001
42.00,0.0011,0.0003,-0.0001
43.00,0.0011,0.0003,0.0001
44.00,0.0015,0.0002,0.0002
45.00,0.0013,0.0003,0.0001
46.00,0.0009,0.0002,-0.0000
47.00,0.0010,0.0002,0.0001
48.00,0.0010,0.0002,0.0001
49.00,0.0008,0.0000,-0.0000
50.00,0.0008,0.0002,0.0000
51.00,0.0009,0.0002,0.0002
52.00,0.0007,0.0002,0.0001
53.00,0.0007,0.0002,0.0002
54.00,0.0012,0.0001,0.0000
55.00,0.0010,0.0002,0.0001
56.00,0.0014,0.0002,0.0002
57.00,0.0060,0.0018,0.0019
58.00,0.0010,0.0003,0.0002
59.00,0.0008,0.0003,0.0001
60.00,0.0006,0.0003,0.0001
61.00,0.0005,0.0002,0.0001
62.00,0.0005,0.0001,0.0001
63.00,0.0004,0.0000,0.0001
64.00,0.0004,0.0002,0.0001
65.00,0.0004,0.0001,0.0000
66.00,0.0003,0.0000,0.0001
67.00,0.0004,0.0001,0.0000
68.00,0.0004,0.0001,-0.0000
69.00,0.0002,0.0001,0.0000
70.00,0.0003,0.0001,0.0000
71.00,0.0003,0.0000,0.0001
72.00,0.0002,-0.0000,0.0000
