f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0009,0.0002,0.0002
2.00,0.0008,0.0002,0.0001
3.00,0.0009,0.0001,0.0001
4.00,0.0009,0.0002,0.0002
5.00,0.0009,0.0002,0.0001
6.00,0.0010,0.0002,0.0002
7.00,0.0011,0.0002,0.0002
8.00,0.0010,0.0002,0.0003
9.00,0.0008,0.0002,0.0001
10.00,0.0012,0.0001,0.0002
11.00,0.0012,0.0002,0.0001
12.00,0.0013,0.0002,0.0003
13.00,0.0017,0.0003,0.0003
14.00,0.0016,0.0003,0.0003
15.00,0.0017,0.0004,0.0003
16.00,0.0018,0.0005,0.0003
17.00,0.0021,0.0004,0.0004
18.00,0.0011,0.0002,0.0002
19.00,0.0016,0.0003,0.0003
20.00,0.0030,0.0006,0.0004
21.00,0.0033,0.0008,0.0005
22.00,0.0048,0.0012,0.0007
23.00,0.0060,0.0013,0.0011
24.00,0.0067,0.0017,0.0010
25.00,0.0086,0.0021,0.0016
26.00,0.0139,0.0033,0.0026
27.00,0.0273,0.0071,0.0051
28.00,0.0516,0.0134,0.0099
29.00,0.0135,0.0033,0.0024
30.00,0.0111,0.0027,0.0018
31.00,0.0070,0.0017,0.0010
32.00,0.0070,0.0016,0.0013
33.00,0.0055,0.0012,0.0008
34.00,0.0041,0.0011,0.0007
35.00,0.0034,0.0007,0.0005
36.00,0.0031,0.0007,0.0004
37.00,0.0021,0.0004,0.0003
38.00,0.0007,0.0002,0.0002
39.00,0.0016,0.0003,0.0003
40.00,0.0017,0.0002,0.0002
41.00,0.0015,0.0003,0.0004
42.00,0.0018,0.0003,0.0003
43.00,0.0016,0.0002,0.0002
44.00,0.0013,0.0003,0.0001
45.00,0.0013,0.0002,0.0002
46.00,0.0012,0.0002,0.0001
47.00,0.0009,0.0000,0.0001
48.00,0.0005,0.0002,-0.0000
49.00,0.0010,0.0001,0.0000
50.00,0.0009,0.0000,0.0002
51.00,0.0008,0.0001,0.0000
52.00,0.0012,0.0001,0.0002
53.00,0.0013,0.0001,0.0003
54.00,0.0017,0.0001,0.0006
55.00,0.0048,0.0005,0.0016
56.00,0.0049,0.0005,0.0016
57.00,0.0019,0.0002,0.0004
58.00,0.0010,0.0004,0.0002
59.00,0.0007,0.0006,0.0001
60.00,0.0009,0.0001,0.0003
61.00,0.0008,0.0001,0.0003
62.00,0.0008,0.0001,-0.0000
63.00,0.0006,-0.0000,0.0000
64.00,0.0006,0.0000,-0.0000
65.00,0.0006,0.0000,-0.0001
66.00,0.0005,0.0001,-0.0001
67.00,0.0004,0.0000,0.0000
68.00,0.0004,0.0001,0.0001
69.00,0.0003,-0.0000,0.0001
70.00,0.0004,0.0000,0.0003
71.00,0.0004,0.0000,0.0002
72.00,0.0005,0.0001,0.0001
73.00,0.0004,0.0001,0.0001
74.00,0.0004,0.0002,0.0000
75.00,0.0004,0.0001,0.0000
76.00,0.0003,0.0001,0.0001
77.00,0.0002,0.0000,0.0001
78.00,0.0002,0.0000,0.0001
79.00,0.0003,0.0003,0.0000
80.00,0.0006,0.0002,0.0002
81.00,0.0005,0.0004,0.0001
82.00,0.0005,0.0006,0.0001
83.00,0.0010,0.0018,0.0001
84.00,0.0007,0.0015,0.0002
85.00,0.0003,0.0007,0.0002
86.00,0.0002,0.0004,0.0001
87.00,0.0002,0.0005,0.0002
88.00,0.0002,0.0003,0.0000
89.00,0.0002,0.0001,-0.0001
90.00,0.0002,0.0002,0.0001
91.00,0.0003,0.0001,0.0001
92.00,0.0005,0.0001,-0.0000
93.00,0.0003,-0.0000,0.0001
94.00,0.0002,0.0002,0.0000
95.00,0.0003,0.0002,0.0002
96.00,0.0002,0.0002,0.0000
97.00,0.0002,0.0002,0.0001
98.00,0.0002,0.0001,0.0001
99.00,0.0002,0.0003,0.0001
100.00,0.0003,0.0002,0.0001
101.00,0.0003,0.0000,0.0002
102.00,0.0002,0.0000,0.0000
103.00,0.0003,0.0002,0.0001
104.00,0.0003,0.0003,0.0001
105.00,0.0004,0.0004,0.0001
106.00,0.0005,0.0006,0.0002
107.00,0.0005,0.0007,0.0003
108.00,0.0008,0.0012,0.0002
109.00,0.0012,0.0019,0.0006
110.00,0.0027,0.0040,0.0013
111.00,0.0043,0.0066,0.0025
112.00,0.0036,0.0052,0.0019
113.00,0.0017,0.0024,0.0008
114.00,0.0010,0.0014,0.0003
115.00,0.0006,0.0008,0.0001
116.00,0.0006,0.0008,0.0003
117.00,0.0004,0.0007,0.0002
118.00,0.0003,0.0005,0.0001
119.00,0.0004,0.0004,0.0002
120.00,0.0006,0.0004,0.0002
121.00,0.0003,0.0003,0.0002
122.00,0.0004,0.0001,0.0001
123.00,0.0004,0.0002,0.0003
124.00,0.0003,0.0001,0.0002
125.00,0.0003,0.0001,0.0002
126.00,0.0003,0.0002,0.0002
127.00,0.0003,0.0003,0.0002
128.00,0.0004,0.0002,0.0001
129.00,0.0003,0.0002,0.0001
130.00,0.0003,0.0002,0.0003
131.00,0.0004,0.0002,0.0003
132.00,0.0008,0.0001,0.0002
133.00,0.0006,0.0002,0.0002
134.00,0.0006,0.0003,0.0003
135.00,0.0007,0.0005,0.0006
136.00,0.0011,0.0006,0.0009
137.00,0.0010,0.0006,0.0008
138.00,0.0029,0.0019,0.0025
139.00,0.0042,0.0027,0.0041
140.00,0.0045,0.0028,0.0044
141.00,0.0017,0.0012,0.0016
142.00,0.0011,0.0007,0.0010
143.00,0.0005,0.0004,0.0007
144.00,0.0004,0.0003,0.0007
145.00,0.0004,0.0003,0.0004
146.00,0.0005,0.0002,0.0002
147.00,0.0002,0.0002,0.0003
148.00,0.0004,0.0002,0.0003
149.00,0.0004,0.0001,0.0003
150.00,0.0003,0.0002,0.0003
151.00,0.0002,0.0003,0.0004
152.00,0.0004,0.0002,0.0005
153.00,0.0004,0.0001,0.0003
154.00,0.0003,0.0000,0.0004
155.00,0.0003,0.0002,0.0005
156.00,0.0004,0.0002,0.0004
157.00,0.0002,-0.0000,0.0003
158.00,0.0002,-0.0000,0.0004
159.00,0.0004,0.0001,0.0005
160.00,0.0005,0.0003,0.0007
161.00,0.0007,0.0002,0.0010
162.00,0.0008,0.0003,0.0011
163.00,0.0011,0.0003,0.0017
164.00,0.0015,0.0006,0.0025
165.00,0.0028,0.0009,0.0043
166.00,0.0045,0.0016,0.0072
167.00,0.0043,0.0023,0.0066
168.00,0.0046,0.0024,0.0066
169.00,0.0018,0.0010,0.0026
170.00,0.0012,0.0006,0.0016
171.00,0.0008,0.0003,0.0016
172.00,0.0006,0.0003,0.0012
173.00,0.0005,0.0002,0.0012
174.00,0.0005,0.0003,0.0007
175.00,0.0004,0.0001,0.0007
176.00,0.0004,0.0001,0.0004
177.00,0.0003,0.0000,0.0005
178.00,0.0004,0.0000,0.0003
179.00,0.0004,0.0000,0.0004
180.00,0.0005,-0.0000,0.0003
181.00,0.0005,0.0000,0.0005
182.00,0.0004,0.0001,0.0005
183.00,0.0003,0.0001,0.0002
184.00,0.0004,0.0001,0.0002
185.00,0.0003,0.0001,0.0005
186.00,0.0007,0.0001,0.0004
187.00,0.0008,0.0000,0.0004
188.00,0.0009,0.0000,0.0003
189.00,0.0013,0.0001,0.0004
190.00,0.0015,0.0001,0.0005
191.00,0.0019,-0.0000,0.0006
192.00,0.0028,0.0000,0.0008
193.00,0.0057,0.0002,0.0014
194.00,0.0085,0.0004,0.0023
195.00,0.0080,0.0004,0.0024
196.00,0.0122,0.0006,0.0033
197.00,0.0049,0.0001,0.0012
198.00,0.0026,0.0000,0.0005
199.00,0.0024,0.0001,0.0004
200.00,0.0017,0.0000,0.0004
201.00,0.0014,0.0001,0.0002
202.00,0.0010,0.0000,0.0003
203.00,0.0008,-0.0000,0.0003
204.00,0.0007,0.0000,0.0004
205.00,0.0005,0.0000,0.0004
206.00,0.0005,0.0001,0.0004
207.00,0.0007,0.0000,0.0004
208.00,0.0005,-0.0001,0.0002
209.00,0.0008,-0.0000,0.0002
210.00,0.0006,0.0000,0.0004
211.00,0.0006,0.0001,0.0004
212.00,0.0005,0.0000,0.0004
213.00,0.0004,0.0000,0.0003
214.00,0.0006,0.0001,0.0004
215.00,0.0007,0.0000,0.0006
216.00,0.0008,0.0001,0.0009
217.00,0.0010,0.0001,0.0008
218.00,0.0013,0.0000,0.0013
219.00,0.0020,0.0002,0.0022
220.00,0.0040,0.0007,0.0039
221.00,0.0061,0.0009,0.0070
222.00,0.0060,0.0010,0.0071
223.00,0.0061,0.0011,0.0078
224.00,0.0072,0.0014,0.0086
225.00,0.0029,0.0005,0.0037
226.00,0.0017,0.0003,0.0022
227.00,0.0013,0.0002,0.0015
228.00,0.0008,0.0001,0.0013
229.00,0.0008,0.0000,0.0012
230.00,0.0006,0.0001,0.0010
