f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0007,0.0003,0.0000
2.00,0.0006,0.0003,0.0000
3.00,0.0006,0.0002,0.0000
4.00,0.0008,0.0003,0.0001
5.00,0.0009,0.0003,0.0001
6.00,0.0008,0.0003,0.0001
7.00,0.0010,0.0003,0.0001
8.00,0.0011,0.0003,0.0001
9.00,0.0008,0.0002,0.0001
10.00,0.0011,0.0002,0.0001
11.00,0.0012,0.0003,0.0001
12.00,0.0009,0.0003,-0.0000
13.00,0.0011,0.0003,0.0001
14.00,0.0017,0.0005,0.0002
15.00,0.0019,0.0004,0.0003
16.00,0.0019,0.0004,0.0004
17.00,0.0021,0.0005,0.0003
18.00,0.0026,0.0006,0.0004
19.00,0.0019,0.0005,0.0003
20.00,0.0026,0.0007,0.0004
21.00,0.0031,0.0008,0.0005
22.00,0.0028,0.0008,0.0006
23.00,0.0039,0.0010,0.0007
24.00,0.0063,0.0018,0.0011
25.00,0.0083,0.0024,0.0017
26.00,0.0099,0.0029,0.0022
27.00,0.0171,0.0052,0.0038
28.00,0.0486,0.0148,0.0111
29.00,0.0537,0.0163,0.0121
30.00,0.0169,0.0051,0.0038
31.00,0.0108,0.0033,0.0022
32.00,0.0063,0.0017,0.0011
33.00,0.0052,0.0015,0.0010
34.00,0.0058,0.0015,0.0011
35.00,0.0048,0.0013,0.0009
36.00,0.0034,0.0008,0.0006
37.00,0.0032,0.0008,0.0006
38.00,0.0030,0.0008,0.0007
39.00,0.0016,0.0003,0.0000
40.00,0.0018,0.0005,0.0003
41.00,0.0020,0.0005,0.0003
42.00,0.0015,0.0002,0.0001
43.00,0.0015,0.0003,0.0002
44.00,0.0020,0.0005,0.0005
45.00,0.0018,0.0003,0.0003
46.00,0.0014,0.0003,0.0001
47.00,0.0014,0.0002,0.0003
48.00,0.0014,0.0004,0.0002
49.00,0.0006,0.0001,0.0001
50.00,0.0010,0.0002,0.0002
51.00,0.0011,0.0003,0.0003
52.00,0.0006,0.0001,0.0001
53.00,0.0009,0.0001,0.0002
54.00,0.0012,0.0003,0.0002
55.00,0.0013,0.0002,0.0002
56.00,0.0014,0.0002,0.0005
57.00,0.0079,0.0013,0.0016
58.00,0.0017,0.0002,0.0003
59.00,0.0011,-0.0000,0.0001
60.00,0.0008,0.0003,0.0001
61.00,0.0007,0.0000,0.0001
62.00,0.0005,-0.0001,0.0001
63.00,0.0005,0.0001,0.0001
64.00,0.0006,0.0003,0.0001
65.00,0.0006,0.0000,0.0001
66.00,0.0005,0.0001,0.0000
67.00,0.0005,0.0001,0.0001
68.00,0.0005,-0.0001,0.0002
69.00,0.0003,0.0001,0.0000
70.00,0.0003,-0.0000,0.0001
71.00,0.0006,-0.0000,-0.0000
72.00,0.0003,0.0001,0.0001
73.00,0.0003,0.0001,0.0001
74.00,0.0006,0.0000,-0.0000
75.00,0.0005,0.0000,-0.0000
76.00,0.0003,0.0001,0.0000
77.00,0.0004,0.0001,0.0000
78.00,0.0004,0.0001,0.0000
79.00,0.0002,0.0001,0.0000
80.00,0.0003,0.0001,0.0000
81.00,0.0005,0.0001,0.0000
82.00,0.0003,0.0001,0.0000
83.00,0.0003,0.0002,0.0001
84.00,0.0003,0.0004,0.0001
85.00,0.0006,0.0011,0.0003
86.00,0.0011,0.0015,0.0005
87.00,0.0005,0.0006,0.0001
88.00,0.0005,0.0004,0.0001
89.00,0.0002,0.0002,0.0001
90.00,0.0002,0.0001,0.0000
91.00,0.0003,0.0001,0.0002
92.00,0.0003,0.0001,-0.0001
93.00,0.0003,0.0001,-0.0002
94.00,0.0003,0.0001,-0.0000
95.00,0.0004,0.0002,0.0001
96.00,0.0003,0.0001,-0.0001
97.00,0.0002,0.0002,0.0001
98.00,0.0003,0.0002,0.0001
99.00,0.0001,0.0001,-0.0000
100.00,-0.0000,0.0001,0.0000
101.00,0.0003,0.0002,0.0001
102.00,0.0003,0.0001,-0.0001
103.00,0.0001,0.0001,0.0000
104.00,0.0003,0.0002,0.0001
105.00,0.0003,0.0001,0.0002
106.00,0.0003,0.0004,0.0000
107.00,0.0002,0.0004,0.0001
108.00,0.0004,0.0004,0.0000
109.00,0.0002,0.0003,0.0001
110.00,0.0005,0.0006,0.0003
111.00,0.0005,0.0008,0.0005
112.00,0.0007,0.0009,0.0004
113.00,0.0012,0.0020,0.0011
114.00,0.0037,0.0060,0.0037
115.00,0.0023,0.0040,0.0024
116.00,0.0010,0.0018,0.0012
117.00,0.0005,0.0011,0.0006
118.00,0.0005,0.0006,0.0005
119.00,0.0001,0.0004,0.0002
120.00,0.0004,0.0005,0.0002
121.00,0.0002,0.0003,0.0001
122.00,0.0001,0.0001,0.0001
123.00,0.0002,0.0002,0.0001
124.00,0.0005,0.0002,0.0000
125.00,0.0002,0.0000,0.0003
126.00,0.0002,0.0001,0.0002
127.00,0.0002,0.0002,0.0001
128.00,-0.0000,0.0001,0.0003
129.00,0.0001,0.0001,0.0005
130.00,0.0001,0.0001,0.0002
131.00,0.0001,0.0001,0.0003
132.00,0.0002,-0.0000,0.0001
133.00,0.0001,0.0000,0.0000
134.00,0.0004,0.0002,0.0004
135.00,0.0002,-0.0001,0.0003
136.00,0.0004,0.0001,0.0003
137.00,0.0003,0.0000,0.0004
138.00,0.0004,0.0001,0.0009
139.00,0.0004,0.0001,0.0009
140.00,0.0006,0.0001,0.0009
141.00,0.0010,0.0000,0.0015
142.00,0.0023,0.0003,0.0033
143.00,0.0044,0.0007,0.0066
144.00,0.0037,0.0004,0.0053
145.00,0.0020,0.0002,0.0025
146.00,0.0009,0.0002,0.0013
147.00,0.0007,0.0001,0.0008
148.00,0.0008,0.0001,0.0008
149.00,0.0005,0.0001,0.0004
150.00,0.0004,0.0002,0.0004
151.00,0.0004,0.0001,0.0003
152.00,0.0001,-0.0000,0.0004
153.00,0.0002,0.0000,0.0001
154.00,0.0003,0.0002,0.0002
155.00,0.0003,0.0001,0.0002
156.00,0.0002,0.0000,0.0002
157.00,0.0003,0.0002,0.0002
158.00,0.0003,0.0001,0.0003
159.00,0.0001,0.0001,0.0002
160.00,0.0002,0.0002,0.0002
161.00,0.0003,0.0001,0.0001
162.00,0.0002,-0.0000,0.0001
163.00,0.0003,0.0003,0.0002
164.00,0.0004,0.0003,0.0001
165.00,0.0004,0.0004,0.0002
166.00,0.0004,0.0005,0.0004
167.00,0.0003,0.0007,0.0003
168.00,0.0005,0.0007,0.0003
169.00,0.0006,0.0010,0.0005
170.00,0.0013,0.0021,0.0014
171.00,0.0033,0.0051,0.0033
172.00,0.0046,0.0073,0.0051
173.00,0.0017,0.0028,0.0019
174.00,0.0008,0.0014,0.0011
175.00,0.0006,0.0008,0.0006
176.00,0.0005,0.0007,0.0005
177.00,0.0004,0.0005,0.0005
178.00,0.0005,0.0005,0.0005
179.00,0.0004,0.0001,0.0003
180.00,0.0002,0.0003,0.0003
181.00,0.0003,0.0002,0.0002
182.00,0.0002,0.0000,0.0001
183.00,0.0004,0.0002,0.0002
184.00,0.0003,0.0002,0.0002
185.00,0.0004,0.0001,0.0002
186.00,0.0003,0.0002,0.0002
187.00,0.0004,0.0000,0.0000
188.00,0.0004,0.0002,0.0003
189.00,0.0004,-0.0000,0.0001
190.00,0.0002,0.0001,0.0002
191.00,0.0005,0.0000,0.0002
192.00,0.0007,0.0002,0.0003
193.00,0.0006,-0.0000,0.0001
194.00,0.0009,0.0001,0.0003
195.00,0.0010,0.0000,0.0004
196.00,0.0012,0.0000,0.0005
197.00,0.0017,0.0001,0.0006
198.00,0.0025,0.0000,0.0011
199.00,0.0046,0.0000,0.0022
200.00,0.0094,0.0004,0.0042
201.00,0.0112,0.0005,0.0050
202.00,0.0043,0.0002,0.0019
203.00,0.0019,0.0001,0.0009
204.00,0.0014,-0.0000,0.0006
205.00,0.0011,0.0000,0.0007
206.00,0.0010,0.0000,0.0003
207.00,0.0007,0.0000,0.0003
208.00,0.0004,0.0001,0.0002
209.00,0.0006,-0.0000,0.0002
210.00,0.0004,0.0001,0.0002
211.00,0.0005,0.0000,0.0002
212.00,0.0003,0.0003,0.0001
213.00,0.0004,-0.0000,0.0003
214.00,0.0004,-0.0001,0.0003
215.00,0.0004,0.0000,0.0003
216.00,0.0003,0.0001,0.0004
217.00,0.0003,-0.0001,0.0003
218.00,0.0003,0.0001,0.0004
219.00,0.0004,-0.0000,0.0002
220.00,0.0005,-0.0000,0.0004
221.00,0.0003,-0.0001,0.0003
222.00,0.0004,-0.0000,0.0004
223.00,0.0005,-0.0000,0.0007
224.00,0.0006,-0.0000,0.0006
225.00,0.0010,0.0001,0.0008
226.00,0.0014,0.0001,0.0015
227.00,0.0021,0.0000,0.0025
228.00,0.0036,0.0000,0.0042
229.00,0.0081,0.0003,0.0099
230.00,0.0041,0.0002,0.0049
231.00,0.0013,0.0001,0.0017
232.00,0.0010,-0.0000,0.0014
233.00,0.0006,0.0000,0.0011
234.00,0.0006,0.0001,0.0007
235.00,0.0004,-0.0001,0.0006
236.00,0.0005,-0.0000,0.0004
237.00,0.0002,0.0001,0.0003
238.00,0.0002,0.0000,0.0003
239.00,0.0002,-0.0000,0.0002
240.00,0.0002,-0.0000,0.0002
241.00,0.0002,-0.0000,0.0004
242.00,0.0002,-0.0000,0.0004
243.00,0.0001,0.0000,0.0004
244.00,0.0001,-0.0000,0.0002
245.00,0.0002,-0.0000,0.0003
246.00,0.0002,-0.0000,0.0004
247.00,0.0001,0.0000,0.0003
248.00,0.0001,-0.0001,0.0002
249.00,0.0003,-0.0000,0.0005
250.00,0.0001,0.0001,0.0003
251.00,0.0003,0.0000,0.0005
252.00,0.0005,0.0001,0.0008
253.00,0.0004,0.0001,0.0009
254.00,0.0005,0.0002,0.0009
255.00,0.0007,0.0002,0.0016
256.00,0.0014,0.0005,0.0030
257.00,0.0027,0.0012,0.0062
258.00,0.0043,0.0020,0.0099
259.00,0.0014,0.0007,0.0038
260.00,0.0005,0.0004,0.0016
261.00,0.0004,0.0001,0.0010
262.00,0.0003,0.0002,0.0012
263.00,0.0002,0.0000,0.0008
264.00,0.0003,0.0000,0.0007
265.00,0.0002,0.0001,0.0005
266.00,0.0001,0.0000,0.0005
267.00,0.0001,0.0001,0.0003
268.00,0.0001,-0.0000,0.0003
269.00,0.0001,0.0001,0.0005
270.00,0.0000,0.0000,0.0003
271.00,0.0001,0.0000,0.0004
272.00,0.0000,0.0000,0.0005
273.00,0.0001,0.0001,0.0005
274.00,0.0002,-0.0000,0.0005
275.00,0.0002,-0.0000,0.0003
276.00,0.0001,0.0002,0.0003
277.00,0.0001,0.0002,0.0003
278.00,0.0001,-0.0000,0.0004
279.00,0.0002,0.0001,0.0007
280.00,0.0003,-0.0000,0.0011
281.00,0.0004,0.0001,0.0012
282.00,0.0006,0.0002,0.0018
283.00,0.0008,0.0002,0.0022
284.00,0.0011,0.0002,0.0034
285.00,0.0018,0.0006,0.0046
286.00,0.0048,0.0015,0.0127
287.00,0.0035,0.0011,0.0095
288.00,0.0012,0.0002,0.0032
289.00,0.0008,0.0002,0.0024
290.00,0.0004,0.0001,0.0020
291.00,0.0003,0.0001,0.0014
292.00,0.0003,0.0001,0.0012
293.00,0.0001,0.0001,0.0007
294.00,0.0001,0.0000,0.0005
295.00,0.0000,-0.0001,0.0005
296.00,0.0001,0.0000,0.0004
297.00,0.0001,0.0000,0.0002
298.00,0.0001,-0.0000,0.0004
299.00,0.0001,-0.0001,0.0005
300.00,0.0001,-0.0000,0.0004
301.00,0.0001,-0.0001,0.0003
302.00,0.0002,0.0000,0.0005
303.00,0.0001,0.0000,0.0001
304.00,0.0000,0.0000,0.0001
305.00,0.0001,0.0001,0.0001
306.00,0.0001,-0.0000,0.0002
307.00,0.0001,0.0001,0.0001
308.00,0.0001,0.0001,0.0003
309.00,0.0002,0.0000,0.0006
310.00,0.0002,0.0001,0.0007
311.00,0.0004,0.0001,0.0005
312.00,0.0004,0.0001,0.0006
313.00,0.0007,0.0001,0.0010
314.00,0.0018,0.0003,0.0029
315.00,0.0037,0.0009,0.0057
316.00,0.0021,0.0007,0.0034
317.00,0.0006,0.0001,0.0012
318.00,0.0003,0.0001,0.0008
319.00,0.0002,0.0000,0.0005
320.00,0.0002,0.0000,0.0004
321.00,0.0002,-0.0000,0.0004
322.00,0.0001,0.0000,0.0002
323.00,0.0001,0.0001,0.0002
324.00,0.0001,0.0001,0.0002
325.00,0.0002,0.0000,-0.0000
326.00,0.0001,0.0000,0.0002
327.00,0.0001,-0.0000,0.0002
328.00,0.0001,0.0000,0.0001
329.00,0.0002,0.0001,0.0003
330.00,0.0003,0.0001,0.0003
331.00,0.0001,0.0001,0.0002
332.00,0.0001,0.0001,0.0000
333.00,0.0001,0.0000,0.0002
334.00,0.0001,0.0001,0.0001
335.00,0.0001,0.0001,0.0002
336.00,0.0004,0.0001,0.0003
337.00,0.0004,0.0002,0.0003
338.00,0.0002,0.0004,0.0004
339.00,0.0005,0.0004,0.0004
340.00,0.0007,0.0005,0.0005
341.00,0.0008,0.0007,0.0010
342.00,0.0013,0.0010,0.0014
343.00,0.0039,0.0031,0.0047
344.00,0.0041,0.0031,0.0045
345.00,0.0014,0.0011,0.0019
346.00,0.0008,0.0007,0.0010
347.00,0.0006,0.0004,0.0007
348.00,0.0004,0.0003,0.0005
349.00,0.0003,0.0002,0.0004
350.00,0.0003,0.0001,0.0003
351.00,0.0002,0.0000,0.0003
352.00,0.0001,-0.0000,0.0003
353.00,0.0000,0.0002,0.0001
354.00,0.0001,0.0000,0.0002
355.00,0.0000,0.0001,0.0001
356.00,0.0001,-0.0000,0.0002
357.00,0.0000,0.0001,0.0001
358.00,0.0000,-0.0000,0.0002
359.00,0.0002,0.0001,0.0002
360.00,0.0000,0.0001,0.0000
361.00,-0.0001,0.0001,0.0002
362.00,0.0000,0.0001,0.0001
363.00,0.0001,0.0001,0.0001
364.00,0.0000,0.0001,0.0002
