f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0006,0.0002,0.0002
2.00,0.0007,0.0002,0.0001
3.00,0.0008,0.0001,0.0002
4.00,0.0009,0.0001,0.0002
5.00,0.0009,0.0002,0.0002
6.00,0.0010,0.0002,0.0002
7.00,0.0010,0.0002,0.0002
8.00,0.0007,0.0002,0.0001
9.00,0.0007,0.0000,0.0001
10.00,0.0007,0.0001,0.0001
11.00,0.0007,0.0001,0.0001
12.00,0.0009,0.0001,-0.0000
13.00,0.0013,0.0002,0.0001
14.00,0.0014,0.0002,0.0003
15.00,0.0017,0.0003,0.0002
16.00,0.0020,0.0003,0.0001
17.00,0.0019,0.0004,0.0003
18.00,0.0012,0.0002,0.0002
19.00,0.0017,0.0003,0.0004
20.00,0.0025,0.0004,0.0005
21.00,0.0024,0.0004,0.0004
22.00,0.0036,0.0007,0.0006
23.00,0.0057,0.0012,0.0012
24.00,0.0068,0.0014,0.0015
25.00,0.0073,0.0015,0.0017
26.00,0.0119,0.0024,0.0026
27.00,0.0249,0.0053,0.0060
28.00,0.0506,0.0107,0.0126
29.00,0.0123,0.0024,0.0031
30.00,0.0090,0.0018,0.0023
31.00,0.0056,0.0011,0.0014
32.00,0.0060,0.0013,0.0015
33.00,0.0057,0.0010,0.0013
34.00,0.0042,0.0008,0.0008
35.00,0.0033,0.0006,0.0007
36.00,0.0033,0.0005,0.0007
37.00,0.0026,0.0004,0.0004
38.00,0.0012,0.0001,0.0001
39.00,0.0016,0.0001,0.0002
40.00,0.0015,0.0002,0.0002
41.00,0.0009,0.0004,0.0002
42.00,0.0013,0.0004,0.0002
43.00,0.0016,0.0002,0.0002
44.00,0.0013,0.0003,0.0002
45.00,0.0010,0.0003,0.0002
46.00,0.0011,0.0002,0.0003
47.00,0.0012,0.0002,0.0003
48.00,0.0004,0.0003,0.0001
49.00,0.0008,0.0004,0.0000
50.00,0.0010,0.0005,0.0002
51.00,0.0007,0.0008,0.0001
52.00,0.0011,0.0009,0.0001
53.00,0.0011,0.0012,0.0001
54.00,0.0010,0.0024,0.0003
55.00,0.0009,0.0063,0.0008
56.00,0.0011,0.0059,0.0011
57.00,0.0006,0.0019,0.0003
58.00,0.0004,0.0012,0.0002
59.00,0.0004,0.0008,-0.0000
60.00,0.0005,0.0006,0.0002
61.00,0.0003,0.0007,0.0001
62.00,0.0006,0.0005,0.0003
63.00,0.0007,0.0003,0.0002
64.00,0.0007,0.0004,0.0003
65.00,0.0004,0.0002,0.0002
66.00,0.0006,0.0002,0.0001
67.00,0.0004,0.0002,0.0001
68.00,0.0002,0.0002,0.0001
69.00,0.0005,0.0004,0.0002
70.00,0.0004,0.0008,0.0002
71.00,0.0001,0.0003,0.0000
72.00,0.0004,0.0003,0.0000
73.00,0.0003,0.0002,0.0001
74.00,0.0004,0.0002,0.0002
75.00,0.0003,0.0003,0.0001
76.00,0.0004,0.0002,0.0002
77.00,0.0004,0.0002,0.0001
78.00,0.0002,0.0002,0.0001
79.00,0.0004,0.0004,0.0001
80.00,0.0004,0.0006,0.0002
81.00,0.0003,0.0006,0.0002
82.00,0.0006,0.0015,0.0004
83.00,0.0013,0.0034,0.0007
84.00,0.0010,0.0032,0.0007
85.00,0.0006,0.0015,0.0001
86.00,0.0004,0.0008,0.0002
87.00,0.0004,0.0005,0.0000
88.00,0.0003,0.0004,0.0001
89.00,0.0003,0.0003,0.0001
90.00,0.0003,0.0001,0.0001
91.00,0.0001,0.0003,0.0001
92.00,0.0002,0.0002,0.0001
93.00,0.0004,0.0003,0.0001
94.00,0.0004,0.0003,0.0003
95.00,0.0003,0.0002,0.0004
96.00,0.0004,0.0004,0.0003
97.00,0.0003,0.0011,0.0005
98.00,0.0002,0.0010,0.0007
99.00,0.0003,0.0001,0.0003
100.00,0.0003,0.0002,0.0002
101.00,0.0004,0.0002,0.0002
102.00,0.0005,0.0001,0.0001
103.00,0.0004,0.0000,0.0003
104.00,0.0003,0.0002,0.0002
105.00,0.0005,0.0001,0.0002
106.00,0.0006,0.0002,0.0003
107.00,0.0008,0.0004,0.0004
108.00,0.0009,0.0005,0.0005
109.00,0.0016,0.0008,0.0010
110.00,0.0033,0.0017,0.0022
111.00,0.0051,0.0029,0.0037
112.00,0.0047,0.0028,0.0034
113.00,0.0017,0.0009,0.0012
114.00,0.0009,0.0005,0.0006
115.00,0.0006,0.0004,0.0004
116.00,0.0006,0.0003,0.0004
117.00,0.0005,0.0001,0.0003
118.00,0.0004,-0.0000,0.0003
119.00,0.0004,0.0001,0.0003
120.00,0.0004,0.0001,0.0003
121.00,0.0004,0.0002,0.0003
122.00,0.0003,0.0001,0.0002
123.00,0.0003,0.0003,0.0001
124.00,0.0003,0.0005,0.0001
125.00,0.0002,0.0007,0.0002
126.00,0.0005,0.0008,0.0002
127.00,0.0002,0.0002,0.0003
128.00,0.0002,0.0003,0.0004
129.00,0.0002,0.0001,0.0003
130.00,0.0003,0.0002,0.0003
131.00,0.0005,0.0003,0.0005
132.00,0.0004,0.0002,0.0004
133.00,0.0005,0.0002,0.0007
134.00,0.0008,0.0004,0.0008
135.00,0.0008,0.0005,0.0007
136.00,0.0012,0.0008,0.0014
137.00,0.0018,0.0011,0.0020
138.00,0.0026,0.0020,0.0034
139.00,0.0055,0.0039,0.0068
140.00,0.0050,0.0032,0.0060
141.00,0.0021,0.0013,0.0024
142.00,0.0011,0.0007,0.0012
143.00,0.0006,0.0004,0.0007
144.00,0.0006,0.0003,0.0006
145.00,0.0006,0.0002,0.0006
146.00,0.0004,0.0001,0.0004
147.00,0.0003,0.0002,0.0005
148.00,0.0005,0.0002,0.0004
149.00,0.0003,0.0002,0.0002
150.00,0.0003,0.0001,0.0003
151.00,0.0003,0.0001,0.0005
152.00,0.0002,0.0002,0.0004
153.00,0.0004,0.0003,0.0008
154.00,0.0004,0.0001,0.0005
155.00,0.0004,0.0001,0.0006
156.00,0.0003,0.0001,0.0006
157.00,0.0002,0.0001,0.0005
158.00,0.0004,0.0001,0.0007
159.00,0.0005,0.0002,0.0007
160.00,0.0004,-0.0000,0.0008
161.00,0.0007,0.0000,0.0012
162.00,0.0010,0.0001,0.0014
163.00,0.0010,0.0001,0.0018
164.00,0.0019,0.0002,0.0033
165.00,0.0026,0.0002,0.0048
166.00,0.0033,0.0004,0.0056
167.00,0.0054,0.0009,0.0082
168.00,0.0051,0.0011,0.0074
169.00,0.0019,0.0003,0.0028
170.00,0.0010,0.0001,0.0018
171.00,0.0010,0.0001,0.0015
172.00,0.0008,0.0000,0.0011
173.00,0.0007,0.0000,0.0009
174.00,0.0005,0.0000,0.0008
