f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0006,0.0002,0.0002
2.00,0.0006,0.0001,0.0001
3.00,0.0005,0.0001,0.0001
4.00,0.0005,0.0001,0.0001
5.00,0.0007,0.0001,0.0002
6.00,0.0009,0.0001,0.0002
7.00,0.0008,0.0001,0.0000
8.00,0.0009,0.0002,0.0003
9.00,0.0009,0.0001,0.0001
10.00,0.0009,0.0002,0.0001
11.00,0.0012,0.0003,0.0002
12.00,0.0010,0.0003,0.0002
13.00,0.0009,0.0002,0.0001
14.00,0.0013,0.0003,0.0003
15.00,0.0017,0.0003,0.0003
16.00,0.0017,0.0003,0.0004
17.00,0.0017,0.0003,0.0002
18.00,0.0022,0.0005,0.0004
19.00,0.0019,0.0003,0.0004
20.00,0.0022,0.0004,0.0005
21.00,0.0031,0.0007,0.0007
22.00,0.0029,0.0006,0.0005
23.00,0.0031,0.0007,0.0008
24.00,0.0057,0.0013,0.0013
25.00,0.0075,0.0017,0.0019
26.00,0.0086,0.0020,0.0022
27.00,0.0147,0.0036,0.0039
28.00,0.0481,0.0126,0.0132
29.00,0.0435,0.0113,0.0118
30.00,0.0154,0.0040,0.0041
31.00,0.0101,0.0025,0.0027
32.00,0.0051,0.0012,0.0014
33.00,0.0042,0.0010,0.0010
34.00,0.0047,0.0011,0.0012
35.00,0.0040,0.0010,0.0010
36.00,0.0027,0.0005,0.0006
37.00,0.0026,0.0005,0.0005
38.00,0.0026,0.0006,0.0005
39.00,0.0015,0.0002,0.0002
40.00,0.0019,0.0003,0.0004
41.00,0.0017,0.0003,0.0004
42.00,0.0012,0.0003,0.0003
43.00,0.0013,0.0002,0.0002
44.00,0.0016,0.0004,0.0003
45.00,0.0014,0.0003,0.0004
46.00,0.0010,0.0002,0.0002
47.00,0.0012,0.0002,0.0002
48.00,0.0011,0.0001,0.0000
49.00,0.0007,0.0002,0.0002
50.00,0.0008,0.0002,0.0001
51.00,0.0008,0.0001,0.0002
52.00,0.0007,0.0001,0.0001
53.00,0.0006,0.0000,0.0001
54.00,0.0008,0.0002,0.0001
55.00,0.0008,0.0001,0.0003
56.00,0.0008,0.0001,0.0004
57.00,0.0038,0.0003,0.0032
58.00,0.0009,-0.0000,0.0004
59.00,0.0005,0.0000,0.0002
60.00,0.0006,0.0001,0.0002
61.00,0.0007,0.0001,0.0003
62.00,0.0003,0.0001,0.0002
63.00,0.0006,0.0002,0.0002
64.00,0.0007,0.0000,0.0001
65.00,0.0004,0.0001,0.0000
66.00,0.0003,-0.0000,0.0001
67.00,0.0004,0.0000,0.0001
68.00,0.0003,0.0001,0.0000
69.00,0.0002,0.0000,-0.0000
70.00,0.0004,0.0001,-0.0001
71.00,0.0004,0.0001,0.0001
72.00,0.0002,0.0001,0.0001
73.00,0.0005,0.0002,0.0001
74.00,0.0004,0.0002,0.0000
75.00,0.0004,0.0001,0.0002
76.00,0.0002,0.0000,0.0001
77.00,0.0003,0.0001,0.0002
78.00,0.0003,0.0001,0.0001
79.00,0.0001,0.0001,0.0000
80.00,0.0003,0.0001,0.0001
81.00,0.0002,0.0002,0.0001
82.00,0.0002,0.0001,0.0001
83.00,0.0003,0.0001,-0.0000
84.00,0.0003,0.0003,0.0003
85.00,0.0010,0.0011,0.0006
86.00,0.0008,0.0011,0.0004
87.00,0.0006,0.0005,0.0001
88.00,0.0004,0.0003,0.0001
89.00,0.0002,0.0001,0.0002
90.00,0.0003,0.0001,0.0000
91.00,0.0002,0.0001,0.0001
92.00,-0.0000,0.0001,0.0002
93.00,0.0002,-0.0000,0.0001
94.00,0.0002,0.0000,0.0000
95.00,0.0003,0.0001,0.0002
96.00,0.0001,0.0001,0.0001
97.00,0.0002,0.0000,0.0001
98.00,0.0002,0.0000,0.0001
99.00,0.0001,-0.0000,0.0001
100.00,0.0002,0.0000,0.0002
101.00,0.0001,0.0001,0.0002
102.00,0.0000,0.0000,0.0002
103.00,0.0002,0.0000,0.0001
104.00,0.0001,0.0002,0.0002
105.00,0.0001,0.0001,0.0003
106.00,0.0002,0.0001,0.0002
107.00,0.0003,0.0000,0.0002
108.00,0.0001,0.0001,0.0004
109.00,0.0003,0.0003,0.0006
110.00,0.0002,0.0003,0.0005
111.00,0.0004,0.0005,0.0009
112.00,0.0006,0.0007,0.0012
113.00,0.0015,0.0015,0.0026
114.00,0.0040,0.0047,0.0070
115.00,0.0020,0.0023,0.0035
116.00,0.0009,0.0009,0.0014
117.00,0.0005,0.0006,0.0009
118.00,0.0007,0.0005,0.0005
119.00,0.0002,0.0004,0.0006
120.00,0.0002,0.0002,0.0004
121.00,0.0003,0.0003,0.0002
122.00,0.0002,0.0002,0.0002
123.00,0.0001,0.0001,0.0003
124.00,0.0001,0.0002,0.0002
125.00,0.0002,0.0001,0.0002
126.00,0.0003,0.0000,0.0002
127.00,0.0002,0.0001,0.0001
128.00,0.0003,0.0002,0.0002
129.00,0.0004,0.0001,0.0001
130.00,0.0003,0.0001,0.0002
131.00,0.0002,0.0001,0.0001
132.00,0.0001,0.0002,0.0001
133.00,0.0002,-0.0000,0.0003
134.00,0.0004,0.0000,0.0003
135.00,0.0005,-0.0001,0.0004
136.00,0.0006,0.0000,0.0005
137.00,0.0006,-0.0000,0.0006
138.00,0.0008,0.0000,0.0007
139.00,0.0011,-0.0000,0.0009
140.00,0.0011,0.0000,0.0009
141.00,0.0022,0.0000,0.0018
142.00,0.0059,0.0002,0.0045
143.00,0.0083,0.0002,0.0061
144.00,0.0044,0.0002,0.0030
145.00,0.0025,0.0001,0.0015
146.00,0.0016,0.0001,0.0010
147.00,0.0012,0.0000,0.0007
148.00,0.0010,0.0001,0.0006
149.00,0.0008,0.0000,0.0003
150.00,0.0005,0.0001,0.0002
151.00,0.0005,0.0001,0.0003
152.00,0.0005,-0.0000,0.0001
153.00,0.0004,0.0000,0.0000
154.00,0.0007,0.0000,0.0002
155.00,0.0004,-0.0000,-0.0000
156.00,0.0005,-0.0000,0.0001
157.00,0.0004,0.0000,0.0003
158.00,0.0004,-0.0000,0.0002
159.00,0.0004,0.0001,0.0002
160.00,0.0003,-0.0000,0.0001
161.00,0.0006,0.0001,0.0000
162.00,0.0004,0.0001,0.0002
163.00,0.0002,0.0002,0.0001
164.00,0.0005,0.0001,0.0001
165.00,0.0005,0.0001,0.0004
166.00,0.0006,0.0001,0.0003
167.00,0.0007,0.0002,0.0004
168.00,0.0007,0.0003,0.0007
169.00,0.0011,0.0004,0.0009
170.00,0.0018,0.0011,0.0024
171.00,0.0041,0.0027,0.0056
172.00,0.0029,0.0023,0.0043
173.00,0.0008,0.0006,0.0014
174.00,0.0003,0.0005,0.0008
