f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0006,0.0002,0.0002
2.00,0.0006,0.0003,0.0001
3.00,0.0007,0.0003,0.0001
4.00,0.0007,0.0003,0.0001
5.00,0.0008,0.0002,0.0001
6.00,0.0008,0.0002,0.0002
7.00,0.0007,0.0002,0.0002
8.00,0.0005,0.0002,0.0001
9.00,0.0006,0.0002,-0.0000
10.00,0.0008,0.0003,0.0001
11.00,0.0010,0.0003,0.0001
12.00,0.0012,0.0004,0.0002
13.00,0.0010,0.0003,0.0001
14.00,0.0013,0.0003,0.0002
15.00,0.0015,0.0003,0.0002
16.00,0.0015,0.0004,0.0001
17.00,0.0010,0.0002,0.0001
18.00,0.0016,0.0004,0.0002
19.00,0.0014,0.0005,0.0001
20.00,0.0021,0.0007,0.0004
21.00,0.0030,0.0010,0.0004
22.00,0.0032,0.0008,0.0004
23.00,0.0031,0.0009,0.0005
24.00,0.0048,0.0014,0.0008
25.00,0.0065,0.0021,0.0012
26.00,0.0074,0.0024,0.0014
27.00,0.0120,0.0040,0.0024
28.00,0.0451,0.0152,0.0092
29.00,0.0288,0.0096,0.0058
30.00,0.0128,0.0041,0.0024
31.00,0.0093,0.0030,0.0017
32.00,0.0057,0.0017,0.0011
33.00,0.0031,0.0008,0.0004
34.00,0.0039,0.0012,0.0006
35.00,0.0034,0.0010,0.0005
36.00,0.0020,0.0005,0.0002
37.00,0.0014,0.0004,0.0002
38.00,0.0018,0.0004,0.0003
39.00,0.0013,0.0004,0.0003
40.00,0.0018,0.0005,0.0002
41.00,0.0017,0.0004,0.0003
42.00,0.0013,0.0004,0.0001
43.00,0.0010,0.0003,0.0002
44.00,0.0013,0.0003,0.0002
45.00,0.0011,0.0003,0.0002
46.00,0.0008,0.0002,0.0001
47.00,0.0005,0.0003,0.0000
48.00,0.0010,0.0001,0.0001
49.00,0.0007,0.0001,-0.0000
50.00,0.0008,0.0001,0.0002
51.00,0.0009,0.0002,0.0001
52.00,0.0009,0.0001,0.0001
53.00,0.0007,0.0002,0.0001
54.00,0.0010,0.0002,0.0001
55.00,0.0015,0.0004,0.0002
56.00,0.0034,0.0009,0.0009
57.00,0.0039,0.0011,0.0009
58.00,0.0011,0.0004,0.0002
59.00,0.0007,0.0002,0.0001
60.00,0.0006,0.0002,0.0001
61.00,0.0008,0.0001,0.0001
62.00,0.0005,0.0000,0.0000
63.00,0.0003,-0.0000,-0.0001
64.00,0.0005,0.0000,0.0000
65.00,0.0005,0.0002,0.0000
66.00,0.0003,0.0000,-0.0000
67.00,0.0002,0.0000,0.0001
68.00,0.0005,0.0001,0.0002
69.00,0.0002,0.0001,0.0002
70.00,0.0005,0.0000,0.0001
71.00,0.0003,0.0000,-0.0001
72.00,0.0003,0.0000,0.0000
73.00,0.0002,0.0001,0.0001
74.00,0.0003,0.0002,-0.0001
75.00,0.0002,0.0000,0.0001
76.00,0.0002,-0.0000,-0.0001
77.00,0.0002,0.0001,-0.0000
78.00,0.0002,0.0001,-0.0000
79.00,0.0002,0.0001,0.0002
80.00,0.0002,0.0001,0.0001
81.00,0.0003,0.0001,0.0001
82.00,0.0002,0.0002,0.0001
83.00,0.0002,0.0003,0.0002
84.00,0.0003,0.0007,0.0002
85.00,0.0010,0.0017,0.0004
86.00,0.0005,0.0007,0.0001
87.00,0.0001,0.0003,0.0000
88.00,0.0002,0.0001,0.0000
89.00,0.0001,0.0001,0.0001
90.00,0.0002,0.0001,0.0001
91.00,0.0004,-0.0000,0.0001
92.00,0.0002,0.0001,0.0001
93.00,0.0001,-0.0000,0.0001
94.00,0.0002,0.0002,0.0001
95.00,0.0002,0.0001,0.0001
96.00,0.0002,0.0000,0.0001
97.00,0.0001,0.0002,0.0002
98.00,0.0001,0.0001,0.0001
99.00,0.0001,0.0001,0.0001
100.00,0.0001,0.0002,0.0001
101.00,0.0002,0.0002,0.0001
102.00,0.0002,0.0000,0.0002
103.00,0.0002,0.0002,0.0001
104.00,0.0002,0.0001,0.0000
105.00,0.0001,0.0001,0.0002
106.00,0.0002,0.0001,0.0002
107.00,0.0003,0.0003,0.0002
108.00,0.0002,0.0003,0.0003
109.00,0.0002,0.0004,0.0003
110.00,0.0003,0.0007,0.0005
111.00,0.0005,0.0008,0.0005
112.00,0.0011,0.0021,0.0014
113.00,0.0035,0.0061,0.0037
114.00,0.0024,0.0039,0.0021
115.00,0.0012,0.0020,0.0012
116.00,0.0006,0.0011,0.0006
117.00,0.0005,0.0008,0.0003
118.00,0.0003,0.0004,0.0002
119.00,0.0002,0.0006,0.0002
120.00,0.0003,0.0002,0.0002
121.00,0.0002,0.0002,-0.0000
122.00,0.0002,0.0001,0.0001
123.00,0.0002,0.0002,0.0001
124.00,0.0002,0.0001,0.0002
125.00,0.0002,0.0003,0.0003
126.00,0.0001,0.0001,0.0002
127.00,0.0002,0.0001,0.0001
128.00,0.0002,0.0001,0.0001
129.00,0.0003,0.0002,0.0003
130.00,0.0003,0.0002,0.0001
131.00,0.0003,0.0000,0.0001
132.00,0.0003,0.0000,-0.0000
133.00,0.0003,0.0000,0.0001
134.00,0.0005,0.0000,0.0002
135.00,0.0003,0.0001,0.0003
136.00,0.0004,0.0002,0.0002
137.00,0.0003,0.0003,0.0005
138.00,0.0005,0.0002,0.0006
139.00,0.0007,0.0004,0.0006
140.00,0.0013,0.0006,0.0014
141.00,0.0028,0.0014,0.0032
142.00,0.0038,0.0021,0.0048
143.00,0.0015,0.0011,0.0022
144.00,0.0008,0.0006,0.0014
145.00,0.0004,0.0003,0.0007
146.00,0.0004,0.0003,0.0004
147.00,0.0002,0.0001,0.0005
148.00,0.0001,0.0001,0.0003
149.00,0.0001,0.0001,0.0002
150.00,0.0001,0.0001,0.0003
151.00,0.0002,0.0002,-0.0000
152.00,0.0002,0.0001,0.0001
153.00,0.0000,0.0001,0.0001
154.00,0.0001,0.0002,0.0001
155.00,0.0001,0.0001,0.0001
156.00,0.0000,0.0001,0.0001
157.00,0.0002,0.0003,0.0003
158.00,0.0004,0.0001,0.0003
159.00,0.0003,0.0001,0.0001
160.00,0.0001,0.0001,0.0002
161.00,0.0003,0.0001,0.0003
162.00,0.0002,0.0003,0.0001
163.00,0.0001,0.0001,0.0002
164.00,0.0002,0.0003,0.0003
165.00,0.0003,0.0003,0.0004
166.00,0.0004,0.0004,0.0003
167.00,0.0006,0.0006,0.0005
168.00,0.0011,0.0011,0.0007
169.00,0.0020,0.0020,0.0011
170.00,0.0049,0.0048,0.0034
171.00,0.0040,0.0037,0.0025
172.00,0.0014,0.0013,0.0007
173.00,0.0006,0.0006,0.0004
174.00,0.0006,0.0005,0.0003
