f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0005,0.0002,0.0002
2.00,0.0005,0.0002,0.0001
3.00,0.0005,0.0002,0.0001
4.00,0.0006,0.0002,0.0001
5.00,0.0006,0.0001,0.0002
6.00,0.0006,0.0001,0.0001
7.00,0.0007,0.0002,0.0002
8.00,0.0005,0.0002,0.0001
9.00,0.0004,0.0001,0.0000
10.00,0.0006,0.0002,0.0001
11.00,0.0007,0.0001,0.0001
12.00,0.0008,0.0002,0.0001
13.00,0.0012,0.0003,0.0001
14.00,0.0012,0.0003,0.0003
15.00,0.0011,0.0003,0.0002
16.00,0.0013,0.0003,0.0000
17.00,0.0015,0.0004,0.0002
18.00,0.0008,0.0002,0.0001
19.00,0.0009,0.0003,0.0002
20.00,0.0018,0.0005,0.0002
21.00,0.0019,0.0006,0.0003
22.00,0.0026,0.0007,0.0005
23.00,0.0042,0.0013,0.0008
24.00,0.0049,0.0015,0.0008
25.00,0.0061,0.0020,0.0011
26.00,0.0098,0.0032,0.0019
27.00,0.0236,0.0084,0.0045
28.00,0.0387,0.0137,0.0076
29.00,0.0104,0.0037,0.0018
30.00,0.0073,0.0025,0.0012
31.00,0.0041,0.0012,0.0007
32.00,0.0040,0.0013,0.0007
33.00,0.0038,0.0012,0.0007
34.00,0.0029,0.0009,0.0004
35.00,0.0024,0.0007,0.0003
36.00,0.0020,0.0005,0.0001
37.00,0.0016,0.0005,0.0003
38.00,0.0004,0.0001,0.0002
39.00,0.0009,0.0003,0.0001
40.00,0.0014,0.0005,0.0002
41.00,0.0009,0.0002,0.0001
42.00,0.0012,0.0003,0.0000
43.00,0.0013,0.0004,0.0001
44.00,0.0011,0.0003,0.0001
45.00,0.0008,0.0002,0.0001
46.00,0.0009,0.0002,-0.0001
47.00,0.0007,0.0003,0.0000
48.00,0.0003,0.0001,0.0002
49.00,0.0008,0.0001,-0.0000
50.00,0.0008,0.0001,0.0002
51.00,0.0007,0.0001,0.0001
52.00,0.0009,0.0003,0.0001
53.00,0.0009,0.0002,0.0002
54.00,0.0016,0.0003,0.0004
55.00,0.0033,0.0008,0.0010
56.00,0.0031,0.0007,0.0010
57.00,0.0013,0.0001,0.0003
58.00,0.0006,0.0005,0.0002
59.00,0.0006,0.0002,0.0000
60.00,0.0003,0.0002,0.0001
61.00,0.0005,-0.0001,0.0001
62.00,0.0005,0.0002,-0.0000
63.00,0.0005,0.0001,-0.0000
64.00,0.0005,-0.0000,0.0001
65.00,0.0003,0.0001,0.0002
66.00,0.0003,0.0001,0.0000
67.00,0.0003,-0.0000,0.0001
68.00,0.0002,-0.0000,0.0000
69.00,0.0004,0.0001,0.0001
70.00,0.0004,0.0001,0.0000
71.00,0.0003,-0.0000,-0.0001
72.00,0.0005,0.0000,0.0000
73.00,0.0004,0.0001,-0.0000
74.00,0.0004,0.0001,0.0000
75.00,0.0002,0.0001,0.0001
76.00,0.0004,0.0002,-0.0000
77.00,0.0003,0.0002,0.0001
78.00,0.0003,0.0001,-0.0001
79.00,0.0003,0.0002,0.0001
80.00,0.0002,0.0004,0.0001
81.00,0.0002,0.0005,0.0001
82.00,0.0005,0.0012,0.0001
83.00,0.0007,0.0020,0.0004
84.00,0.0004,0.0017,0.0003
85.00,0.0004,0.0009,0.0001
86.00,0.0003,0.0005,0.0001
87.00,0.0002,0.0003,0.0000
88.00,0.0002,0.0003,-0.0001
89.00,0.0001,0.0002,0.0000
90.00,0.0001,0.0001,-0.0000
91.00,0.0002,0.0002,0.0001
92.00,0.0002,0.0002,0.0002
93.00,0.0002,0.0001,0.0001
94.00,0.0001,0.0003,0.0001
95.00,0.0001,0.0001,0.0002
96.00,0.0003,0.0002,0.0002
97.00,0.0003,0.0002,0.0001
98.00,0.0002,0.0002,0.0001
99.00,0.0002,0.0002,0.0000
100.00,0.0001,0.0002,0.0000
101.00,0.0004,0.0003,0.0002
102.00,0.0002,0.0001,0.0002
103.00,0.0002,0.0004,0.0002
104.00,0.0004,0.0006,0.0001
105.00,0.0004,0.0005,0.0001
106.00,0.0004,0.0006,0.0002
107.00,0.0005,0.0009,0.0002
108.00,0.0009,0.0017,0.0006
109.00,0.0014,0.0024,0.0008
110.00,0.0022,0.0041,0.0018
111.00,0.0041,0.0073,0.0032
112.00,0.0026,0.0044,0.0021
113.00,0.0011,0.0020,0.0007
114.00,0.0006,0.0015,0.0006
115.00,0.0004,0.0008,0.0004
116.00,0.0005,0.0006,0.0003
117.00,0.0003,0.0005,0.0002
118.00,0.0003,0.0004,0.0001
119.00,0.0001,0.0002,0.0001
120.00,0.0002,0.0001,0.0000
121.00,0.0001,0.0003,0.0001
122.00,0.0001,0.0001,-0.0000
123.00,0.0002,0.0001,0.0001
124.00,0.0002,0.0002,0.0002
125.00,0.0000,0.0002,0.0002
126.00,0.0002,0.0001,0.0002
127.00,0.0001,0.0000,0.0002
128.00,0.0002,0.0002,0.0002
129.00,0.0002,0.0001,0.0002
130.00,0.0002,-0.0000,0.0002
131.00,0.0001,0.0000,0.0002
132.00,0.0003,0.0002,0.0001
133.00,0.0005,0.0003,0.0003
134.00,0.0005,0.0003,0.0004
135.00,0.0007,0.0005,0.0006
136.00,0.0013,0.0008,0.0012
137.00,0.0018,0.0016,0.0018
138.00,0.0022,0.0018,0.0025
139.00,0.0036,0.0028,0.0041
140.00,0.0033,0.0024,0.0035
141.00,0.0011,0.0008,0.0012
142.00,0.0006,0.0006,0.0007
143.00,0.0003,0.0003,0.0005
144.00,0.0003,0.0002,0.0005
145.00,0.0004,0.0002,0.0003
146.00,0.0004,0.0003,0.0002
147.00,0.0003,0.0001,0.0002
148.00,0.0002,0.0001,0.0002
149.00,0.0002,0.0002,0.0001
150.00,0.0002,0.0001,0.0002
151.00,0.0002,0.0002,0.0003
152.00,0.0002,0.0001,0.0003
153.00,0.0003,0.0002,0.0004
154.00,0.0003,0.0001,0.0005
155.00,0.0002,0.0001,0.0003
156.00,0.0002,0.0001,0.0003
157.00,0.0002,0.0002,0.0006
158.00,0.0003,-0.0000,0.0005
