f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0005,0.0002,0.0002
2.00,0.0004,0.0002,0.0001
3.00,0.0005,0.0002,0.0001
4.00,0.0006,0.0002,0.0001
5.00,0.0006,0.0002,0.0001
6.00,0.0007,0.0002,0.0002
7.00,0.0006,0.0002,0.0001
8.00,0.0004,0.0001,0.0001
9.00,0.0004,0.0002,0.0000
10.00,0.0006,0.0002,0.0001
11.00,0.0007,0.0002,0.0002
12.00,0.0008,0.0002,0.0001
13.00,0.0008,0.0002,0.0002
14.00,0.0011,0.0003,0.0002
15.00,0.0012,0.0004,0.0003
16.00,0.0013,0.0004,0.0001
17.00,0.0011,0.0002,0.0001
18.00,0.0008,0.0002,0.0002
19.00,0.0010,0.0003,0.0001
20.00,0.0017,0.0006,0.0002
21.00,0.0024,0.0008,0.0003
22.00,0.0026,0.0007,0.0005
23.00,0.0028,0.0009,0.0004
24.00,0.0045,0.0013,0.0006
25.00,0.0060,0.0019,0.0010
26.00,0.0084,0.0027,0.0015
27.00,0.0162,0.0057,0.0028
28.00,0.0427,0.0147,0.0085
29.00,0.0151,0.0051,0.0028
30.00,0.0093,0.0031,0.0017
31.00,0.0067,0.0022,0.0012
32.00,0.0046,0.0015,0.0007
33.00,0.0029,0.0009,0.0004
34.00,0.0031,0.0009,0.0003
35.00,0.0028,0.0008,0.0004
36.00,0.0020,0.0006,0.0002
37.00,0.0013,0.0003,0.0001
38.00,0.0007,0.0001,0.0001
39.00,0.0011,0.0004,0.0002
40.00,0.0014,0.0003,0.0002
41.00,0.0014,0.0004,0.0003
42.00,0.0011,0.0004,-0.0000
43.00,0.0011,0.0002,0.0001
44.00,0.0010,0.0002,0.0002
45.00,0.0009,0.0002,0.0001
46.00,0.0009,0.0002,0.0000
47.00,0.0006,0.0001,0.0000
48.00,0.0004,0.0002,0.0002
49.00,0.0008,0.0001,-0.0000
50.00,0.0008,0.0002,0.0002
51.00,0.0007,0.0001,0.0001
52.00,0.0008,0.0002,0.0002
53.00,0.0008,0.0001,0.0003
54.00,0.0012,0.0003,0.0004
55.00,0.0021,0.0005,0.0005
56.00,0.0047,0.0013,0.0013
57.00,0.0015,0.0003,0.0005
58.00,0.0006,0.0002,0.0001
59.00,0.0005,0.0002,0.0002
60.00,0.0006,0.0001,0.0000
61.00,0.0005,0.0000,0.0001
62.00,0.0005,0.0002,0.0001
63.00,0.0005,0.0000,0.0001
64.00,0.0003,0.0001,0.0001
65.00,0.0002,0.0001,0.0001
66.00,0.0004,0.0000,0.0000
67.00,0.0002,0.0001,0.0001
68.00,0.0002,-0.0000,-0.0000
69.00,0.0002,0.0001,0.0001
70.00,0.0003,0.0001,0.0001
71.00,0.0003,0.0001,-0.0000
72.00,0.0003,0.0001,0.0001
73.00,0.0003,0.0001,0.0002
74.00,0.0002,0.0002,-0.0000
75.00,0.0001,0.0000,0.0001
76.00,0.0003,0.0001,-0.0001
77.00,0.0003,0.0000,0.0000
78.00,0.0001,0.0002,0.0001
79.00,0.0001,0.0001,0.0001
80.00,0.0002,0.0003,0.0001
81.00,0.0002,0.0004,0.0001
82.00,0.0003,0.0008,0.0002
83.00,0.0005,0.0009,0.0003
84.00,0.0007,0.0016,0.0005
85.00,0.0005,0.0011,0.0003
86.00,0.0002,0.0005,0.0003
87.00,0.0001,0.0004,-0.0000
88.00,0.0001,0.0003,0.0002
89.00,0.0002,0.0003,0.0002
90.00,0.0001,0.0003,0.0000
91.00,0.0002,0.0002,0.0002
92.00,0.0002,0.0001,0.0002
93.00,0.0002,0.0001,0.0002
94.00,0.0002,0.0001,0.0002
95.00,0.0001,0.0001,0.0002
96.00,0.0001,0.0002,0.0001
97.00,0.0001,0.0001,0.0001
98.00,0.0001,0.0001,0.0002
99.00,0.0002,0.0002,0.0002
100.00,0.0002,0.0002,0.0001
101.00,0.0002,0.0001,0.0002
102.00,0.0001,0.0002,0.0002
103.00,0.0002,0.0002,0.0001
104.00,0.0003,0.0002,0.0001
105.00,0.0002,0.0004,0.0002
106.00,0.0003,0.0004,0.0001
107.00,0.0004,0.0007,0.0001
108.00,0.0007,0.0013,0.0006
109.00,0.0011,0.0021,0.0008
110.00,0.0012,0.0022,0.0009
111.00,0.0017,0.0031,0.0017
112.00,0.0028,0.0048,0.0031
113.00,0.0027,0.0047,0.0028
114.00,0.0013,0.0023,0.0014
115.00,0.0007,0.0013,0.0008
116.00,0.0004,0.0009,0.0004
117.00,0.0003,0.0007,0.0002
118.00,0.0003,0.0005,0.0004
119.00,0.0002,0.0004,0.0002
120.00,0.0001,0.0002,0.0001
121.00,0.0003,0.0004,0.0002
122.00,0.0002,0.0003,0.0001
123.00,0.0001,0.0001,0.0003
124.00,0.0001,0.0002,0.0001
125.00,0.0001,0.0002,0.0001
126.00,0.0001,0.0001,0.0001
127.00,0.0001,0.0001,0.0001
128.00,-0.0000,0.0001,0.0001
129.00,0.0002,0.0002,0.0001
130.00,0.0002,0.0001,0.0001
131.00,0.0002,0.0001,0.0002
132.00,0.0001,0.0003,0.0003
133.00,0.0003,0.0002,0.0004
134.00,0.0004,0.0001,0.0006
135.00,0.0005,0.0003,0.0006
136.00,0.0008,0.0006,0.0009
137.00,0.0010,0.0007,0.0009
138.00,0.0014,0.0010,0.0015
139.00,0.0015,0.0009,0.0017
140.00,0.0023,0.0015,0.0027
141.00,0.0029,0.0018,0.0034
142.00,0.0024,0.0015,0.0024
143.00,0.0009,0.0007,0.0012
144.00,0.0004,0.0003,0.0006
145.00,0.0004,0.0002,0.0004
146.00,0.0005,0.0003,0.0002
147.00,0.0003,0.0001,0.0004
148.00,0.0003,0.0002,0.0002
149.00,0.0002,0.0000,0.0001
150.00,0.0001,0.0001,0.0002
151.00,0.0002,0.0001,0.0002
152.00,0.0002,0.0000,0.0003
153.00,0.0003,0.0001,0.0003
154.00,0.0001,0.0001,0.0002
155.00,0.0003,0.0001,0.0004
156.00,0.0000,0.0001,0.0001
157.00,0.0001,0.0001,0.0005
158.00,0.0002,0.0000,0.0005
