f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0004,0.0002,0.0002
2.00,0.0004,0.0001,0.0001
3.00,0.0003,0.0001,0.0001
4.00,0.0004,0.0002,0.0001
5.00,0.0005,0.0002,0.0001
6.00,0.0006,0.0002,0.0001
7.00,0.0006,0.0002,0.0001
8.00,0.0008,0.0003,0.0002
9.00,0.0006,0.0002,0.0001
10.00,0.0005,0.0002,0.0001
11.00,0.0007,0.0003,0.0001
12.00,0.0007,0.0002,0.0001
13.00,0.0009,0.0001,0.0001
14.00,0.0013,0.0003,0.0003
15.00,0.0016,0.0005,0.0003
16.00,0.0014,0.0004,0.0002
17.00,0.0017,0.0005,0.0003
18.00,0.0020,0.0005,0.0004
19.00,0.0014,0.0004,0.0003
20.00,0.0016,0.0004,0.0002
21.00,0.0026,0.0007,0.0005
22.00,0.0027,0.0006,0.0005
23.00,0.0034,0.0009,0.0008
24.00,0.0054,0.0014,0.0013
25.00,0.0073,0.0019,0.0019
26.00,0.0086,0.0021,0.0022
27.00,0.0162,0.0043,0.0045
28.00,0.0402,0.0108,0.0111
29.00,0.0531,0.0139,0.0147
30.00,0.0155,0.0039,0.0044
31.00,0.0104,0.0024,0.0028
32.00,0.0061,0.0013,0.0016
33.00,0.0056,0.0013,0.0014
34.00,0.0057,0.0012,0.0014
35.00,0.0044,0.0009,0.0010
36.00,0.0032,0.0005,0.0007
37.00,0.0036,0.0007,0.0008
38.00,0.0028,0.0004,0.0005
39.00,0.0015,0.0002,0.0003
40.00,0.0020,0.0003,0.0003
41.00,0.0019,0.0003,0.0004
42.00,0.0014,0.0002,0.0002
43.00,0.0018,0.0002,0.0004
44.00,0.0020,0.0004,0.0003
45.00,0.0017,0.0003,0.0003
46.00,0.0014,0.0001,0.0002
47.00,0.0016,0.0002,0.0005
48.00,0.0013,0.0001,0.0001
49.00,0.0007,0.0001,0.0001
50.00,0.0010,0.0001,0.0003
51.00,0.0011,0.0000,0.0002
52.00,0.0006,0.0002,0.0002
53.00,0.0010,0.0001,0.0003
54.00,0.0013,0.0002,0.0003
55.00,0.0010,0.0000,0.0002
56.00,0.0012,0.0001,0.0005
57.00,0.0045,0.0008,0.0029
58.00,0.0013,0.0002,0.0009
59.00,0.0008,-0.0001,0.0003
60.00,0.0008,0.0001,0.0002
61.00,0.0005,0.0001,0.0001
62.00,0.0005,0.0001,0.0001
63.00,0.0007,0.0001,0.0001
64.00,0.0008,0.0001,0.0001
65.00,0.0007,-0.0001,0.0000
66.00,0.0006,0.0002,0.0001
67.00,0.0007,0.0001,0.0001
68.00,0.0007,0.0001,0.0001
69.00,0.0003,0.0000,0.0001
70.00,0.0005,0.0001,0.0000
71.00,0.0005,0.0000,0.0000
72.00,0.0004,0.0001,0.0001
73.00,0.0006,0.0001,0.0001
74.00,0.0005,-0.0000,0.0001
75.00,0.0004,0.0000,0.0000
76.00,0.0004,0.0000,0.0000
77.00,0.0006,0.0001,0.0001
78.00,0.0005,0.0002,0.0000
79.00,0.0003,0.0000,0.0001
80.00,0.0004,0.0001,0.0001
81.00,0.0004,0.0000,0.0001
82.00,0.0004,0.0000,0.0001
83.00,0.0005,0.0002,0.0000
84.00,0.0007,0.0002,0.0003
85.00,0.0007,0.0004,0.0003
86.00,0.0012,0.0014,0.0006
87.00,0.0005,0.0005,0.0001
88.00,0.0006,0.0003,0.0002
89.00,0.0001,0.0001,0.0000
90.00,0.0004,0.0001,0.0001
91.00,0.0003,0.0001,0.0002
92.00,0.0002,0.0001,0.0001
93.00,0.0004,0.0001,0.0002
94.00,0.0006,0.0001,0.0002
95.00,0.0004,0.0000,0.0001
