f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0006,0.0002,0.0002
2.00,0.0007,0.0003,0.0002
3.00,0.0007,0.0002,0.0002
4.00,0.0007,0.0002,0.0002
5.00,0.0008,0.0003,0.0002
6.00,0.0009,0.0003,0.0002
7.00,0.0007,0.0002,0.0001
8.00,0.0006,0.0002,0.0001
9.00,0.0006,0.0001,0.0002
10.00,0.0009,0.0002,0.0002
11.00,0.0009,0.0002,0.0002
12.00,0.0013,0.0003,0.0003
13.00,0.0011,0.0003,0.0003
14.00,0.0012,0.0003,0.0003
15.00,0.0015,0.0004,0.0004
16.00,0.0016,0.0004,0.0004
17.00,0.0013,0.0003,0.0003
18.00,0.0011,0.0003,0.0002
19.00,0.0016,0.0003,0.0004
20.00,0.0024,0.0006,0.0004
21.00,0.0029,0.0008,0.0006
22.00,0.0036,0.0010,0.0009
23.00,0.0038,0.0010,0.0009
24.00,0.0050,0.0015,0.0013
25.00,0.0070,0.0020,0.0018
26.00,0.0095,0.0028,0.0027
27.00,0.0126,0.0037,0.0035
28.00,0.0537,0.0166,0.0157
29.00,0.0243,0.0075,0.0071
30.00,0.0130,0.0038,0.0036
31.00,0.0082,0.0023,0.0023
32.00,0.0064,0.0018,0.0017
33.00,0.0040,0.0010,0.0010
34.00,0.0039,0.0010,0.0008
35.00,0.0032,0.0009,0.0007
36.00,0.0024,0.0007,0.0006
37.00,0.0015,0.0004,0.0004
38.00,0.0015,0.0004,0.0003
39.00,0.0014,0.0004,0.0004
40.00,0.0018,0.0004,0.0002
41.00,0.0016,0.0005,0.0003
42.00,0.0016,0.0004,0.0003
43.00,0.0012,0.0003,0.0002
44.00,0.0013,0.0002,0.0001
45.00,0.0012,0.0002,0.0002
46.00,0.0010,0.0002,0.0003
47.00,0.0006,0.0002,0.0002
48.00,0.0006,0.0001,0.0000
49.00,0.0007,0.0001,0.0002
50.00,0.0011,0.0002,0.0002
51.00,0.0010,0.0001,0.0002
52.00,0.0011,0.0001,0.0002
53.00,0.0012,0.0001,0.0001
54.00,0.0014,0.0001,0.0001
55.00,0.0019,0.0003,0.0003
56.00,0.0057,0.0010,0.0007
57.00,0.0036,0.0008,0.0005
58.00,0.0012,0.0004,0.0002
59.00,0.0008,0.0002,0.0000
60.00,0.0007,0.0002,0.0001
61.00,0.0006,0.0001,-0.0000
62.00,0.0007,0.0001,0.0002
63.00,0.0004,0.0002,0.0001
64.00,0.0005,0.0001,0.0001
65.00,0.0004,0.0001,-0.0000
66.00,0.0004,0.0001,0.0001
67.00,0.0002,0.0000,0.0000
68.00,0.0005,0.0000,0.0002
69.00,0.0003,0.0000,0.0001
70.00,0.0003,0.0001,0.0001
71.00,0.0003,0.0001,0.0001
72.00,0.0005,0.0000,0.0001
73.00,0.0001,0.0001,-0.0000
74.00,0.0003,0.0001,0.0001
75.00,0.0003,0.0000,0.0000
76.00,0.0002,0.0001,0.0001
77.00,0.0002,0.0001,0.0000
78.00,0.0002,0.0001,0.0000
79.00,0.0001,0.0000,0.0001
80.00,0.0003,0.0001,0.0001
81.00,0.0003,0.0002,0.0001
82.00,0.0003,0.0002,-0.0001
83.00,0.0003,0.0004,0.0001
84.00,0.0004,0.0010,0.0002
85.00,0.0007,0.0011,0.0002
86.00,0.0003,0.0006,0.0000
87.00,0.0003,0.0003,-0.0000
88.00,0.0002,0.0002,0.0001
89.00,0.0002,0.0002,0.0002
90.00,0.0003,0.0001,-0.0001
91.00,0.0003,0.0001,0.0000
92.00,0.0002,0.0001,0.0001
93.00,0.0003,0.0001,-0.0000
94.00,0.0003,0.0001,0.0002
95.00,0.0002,0.0001,0.0001
96.00,0.0002,0.0002,-0.0000
97.00,0.0002,0.0002,0.0001
98.00,0.0001,0.0002,-0.0001
99.00,0.0002,0.0002,0.0002
100.00,0.0003,0.0003,0.0000
101.00,0.0004,0.0002,0.0001
102.00,0.0001,0.0002,-0.0001
103.00,-0.0000,0.0001,0.0001
104.00,0.0003,0.0001,0.0003
105.00,0.0002,0.0002,0.0002
106.00,0.0002,0.0003,0.0002
107.00,0.0001,0.0003,0.0001
108.00,0.0003,0.0004,0.0003
109.00,0.0006,0.0008,0.0003
110.00,0.0006,0.0010,0.0006
111.00,0.0011,0.0020,0.0013
112.00,0.0026,0.0045,0.0029
113.00,0.0038,0.0059,0.0038
114.00,0.0020,0.0027,0.0018
115.00,0.0009,0.0014,0.0007
116.00,0.0008,0.0008,0.0005
117.00,0.0005,0.0008,0.0002
118.00,0.0004,0.0005,0.0002
119.00,0.0003,0.0005,0.0003
120.00,0.0003,0.0004,0.0002
121.00,0.0001,0.0002,0.0004
122.00,0.0004,0.0002,0.0003
123.00,0.0002,0.0001,0.0002
124.00,0.0003,0.0001,0.0001
125.00,0.0002,0.0002,0.0002
126.00,0.0002,0.0002,0.0002
127.00,0.0003,0.0003,0.0002
128.00,0.0002,0.0001,0.0001
129.00,0.0001,0.0001,0.0002
130.00,0.0002,0.0001,0.0003
131.00,0.0002,0.0001,0.0004
132.00,0.0004,-0.0001,0.0003
133.00,0.0002,0.0001,0.0002
134.00,0.0003,0.0000,0.0003
135.00,0.0004,0.0002,0.0003
136.00,0.0004,0.0001,0.0003
137.00,0.0006,0.0003,0.0004
138.00,0.0009,0.0001,0.0007
139.00,0.0012,0.0006,0.0011
140.00,0.0025,0.0011,0.0025
141.00,0.0034,0.0013,0.0037
142.00,0.0033,0.0012,0.0035
143.00,0.0019,0.0009,0.0022
144.00,0.0010,0.0003,0.0011
145.00,0.0006,0.0003,0.0007
146.00,0.0003,0.0003,0.0005
147.00,0.0004,0.0001,0.0004
148.00,0.0004,0.0001,0.0003
149.00,0.0003,0.0001,0.0002
150.00,0.0002,0.0001,0.0003
151.00,0.0002,0.0001,0.0002
152.00,0.0002,0.0001,0.0002
153.00,0.0003,0.0001,0.0004
154.00,0.0002,0.0000,0.0002
155.00,0.0002,0.0001,0.0003
156.00,0.0003,0.0002,0.0002
157.00,0.0002,0.0001,0.0003
158.00,0.0003,0.0001,0.0001
159.00,0.0005,0.0000,0.0002
160.00,0.0001,0.0001,-0.0000
161.00,0.0003,0.0001,0.0002
162.00,0.0004,0.0003,0.0003
163.00,0.0004,0.0002,0.0003
164.00,0.0005,0.0003,0.0003
165.00,0.0007,0.0004,0.0005
166.00,0.0011,0.0006,0.0008
167.00,0.0018,0.0013,0.0016
168.00,0.0030,0.0021,0.0025
169.00,0.0045,0.0037,0.0033
170.00,0.0035,0.0033,0.0025
171.00,0.0029,0.0028,0.0018
172.00,0.0012,0.0011,0.0005
173.00,0.0007,0.0004,0.0004
174.00,0.0005,0.0005,0.0004
