f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0008,0.0002,0.0002
2.00,0.0008,0.0001,0.0001
3.00,0.0009,0.0002,0.0002
4.00,0.0009,0.0002,0.0002
5.00,0.0010,0.0002,0.0002
6.00,0.0010,0.0002,0.0002
7.00,0.0010,0.0002,0.0001
8.00,0.0012,0.0003,0.0002
9.00,0.0008,0.0001,0.0001
10.00,0.0009,0.0001,0.0001
11.00,0.0012,0.0001,0.0002
12.00,0.0013,0.0002,0.0003
13.00,0.0016,0.0002,0.0003
14.00,0.0019,0.0003,0.0004
15.00,0.0020,0.0004,0.0003
16.00,0.0019,0.0004,0.0005
17.00,0.0021,0.0005,0.0004
18.00,0.0024,0.0005,0.0004
19.00,0.0012,0.0002,0.0001
20.00,0.0017,0.0005,0.0003
21.00,0.0033,0.0007,0.0005
22.00,0.0038,0.0009,0.0008
23.00,0.0051,0.0013,0.0010
24.00,0.0066,0.0016,0.0013
25.00,0.0083,0.0021,0.0017
26.00,0.0101,0.0027,0.0021
27.00,0.0175,0.0047,0.0039
28.00,0.0379,0.0103,0.0088
29.00,0.0649,0.0179,0.0153
30.00,0.0164,0.0044,0.0037
31.00,0.0129,0.0035,0.0029
32.00,0.0088,0.0023,0.0017
33.00,0.0076,0.0020,0.0014
34.00,0.0064,0.0017,0.0013
35.00,0.0050,0.0012,0.0008
36.00,0.0040,0.0010,0.0008
37.00,0.0039,0.0009,0.0005
38.00,0.0029,0.0007,0.0006
39.00,0.0010,0.0003,0.0001
40.00,0.0015,0.0004,0.0002
41.00,0.0021,0.0005,0.0003
42.00,0.0018,0.0004,0.0003
43.00,0.0022,0.0005,0.0003
44.00,0.0021,0.0004,0.0002
45.00,0.0017,0.0005,0.0001
46.00,0.0015,0.0003,0.0003
47.00,0.0016,0.0005,0.0004
48.00,0.0014,0.0002,0.0002
49.00,0.0003,0.0001,0.0001
50.00,0.0008,0.0001,0.0000
51.00,0.0010,0.0002,0.0000
52.00,0.0009,0.0004,0.0001
53.00,0.0014,0.0003,0.0001
54.00,0.0014,0.0002,0.0003
55.00,0.0015,0.0003,0.0001
56.00,0.0019,0.0002,0.0002
57.00,0.0056,0.0008,0.0008
58.00,0.0029,0.0006,0.0003
59.00,0.0010,0.0002,0.0000
60.00,0.0006,0.0003,0.0000
61.00,0.0008,0.0003,0.0000
62.00,0.0006,-0.0001,0.0000
63.00,0.0010,0.0001,0.0000
64.00,0.0007,-0.0004,0.0001
65.00,0.0007,0.0001,0.0001
66.00,0.0007,0.0001,0.0001
67.00,0.0006,0.0002,-0.0000
68.00,0.0004,0.0002,-0.0001
69.00,0.0002,-0.0001,0.0001
70.00,0.0004,0.0001,0.0001
71.00,0.0005,0.0001,-0.0000
72.00,0.0005,-0.0001,0.0000
73.00,0.0006,0.0001,0.0001
74.00,0.0005,0.0001,-0.0001
75.00,0.0005,0.0002,-0.0001
76.00,0.0006,0.0001,-0.0000
77.00,0.0004,0.0001,-0.0000
78.00,0.0002,-0.0001,-0.0001
79.00,0.0001,0.0001,0.0002
80.00,0.0002,0.0001,0.0000
81.00,0.0002,0.0001,-0.0000
82.00,0.0005,0.0001,-0.0001
83.00,0.0006,0.0002,0.0000
84.00,0.0004,0.0001,0.0001
85.00,0.0005,0.0003,-0.0000
86.00,0.0015,0.0013,0.0002
87.00,0.0008,0.0007,0.0001
88.00,0.0005,0.0003,0.0000
89.00,0.0002,0.0001,-0.0001
90.00,0.0002,0.0000,0.0001
91.00,0.0002,-0.0000,0.0000
92.00,0.0003,0.0000,0.0001
93.00,0.0003,0.0001,0.0001
94.00,0.0003,0.0002,0.0001
95.00,0.0005,0.0001,-0.0001
96.00,0.0002,0.0001,0.0002
97.00,0.0003,0.0000,-0.0001
98.00,0.0001,-0.0000,0.0000
99.00,-0.0000,0.0001,0.0001
100.00,-0.0000,-0.0001,0.0000
101.00,0.0001,0.0001,-0.0000
102.00,0.0003,0.0001,-0.0000
103.00,0.0003,0.0001,0.0001
104.00,0.0003,0.0001,0.0001
105.00,0.0002,0.0001,0.0001
106.00,0.0004,0.0002,-0.0000
107.00,0.0002,0.0002,0.0001
108.00,0.0001,-0.0000,0.0000
109.00,-0.0000,0.0000,0.0002
110.00,0.0003,0.0003,0.0003
111.00,0.0001,0.0003,0.0002
112.00,0.0006,0.0005,0.0002
113.00,0.0006,0.0008,0.0005
114.00,0.0013,0.0016,0.0011
115.00,0.0035,0.0045,0.0034
116.00,0.0011,0.0018,0.0012
117.00,0.0005,0.0007,0.0003
118.00,0.0003,0.0004,0.0003
119.00,0.0003,0.0003,0.0003
120.00,0.0003,0.0002,0.0003
121.00,0.0002,0.0001,0.0002
122.00,0.0002,0.0002,0.0003
123.00,0.0002,0.0002,0.0001
124.00,0.0003,0.0001,0.0001
125.00,0.0003,0.0000,0.0001
126.00,0.0003,0.0000,0.0002
127.00,0.0003,0.0001,-0.0000
128.00,0.0000,0.0001,0.0001
129.00,0.0002,0.0001,0.0001
130.00,0.0000,0.0000,0.0002
131.00,0.0001,0.0000,-0.0000
132.00,0.0003,-0.0000,0.0001
133.00,0.0003,0.0001,-0.0000
134.00,0.0001,-0.0000,0.0002
135.00,0.0004,-0.0000,0.0002
136.00,0.0004,0.0001,0.0002
137.00,0.0003,0.0001,0.0002
138.00,0.0003,-0.0000,0.0002
139.00,0.0006,0.0003,0.0008
140.00,0.0005,0.0002,0.0007
141.00,0.0006,0.0001,0.0007
142.00,0.0011,0.0002,0.0014
143.00,0.0032,0.0008,0.0034
144.00,0.0048,0.0013,0.0051
145.00,0.0023,0.0006,0.0029
146.00,0.0014,0.0003,0.0017
147.00,0.0008,0.0003,0.0010
148.00,0.0003,0.0001,0.0004
149.00,0.0006,0.0001,0.0007
150.00,0.0004,0.0002,0.0002
151.00,0.0001,0.0001,0.0003
152.00,0.0002,0.0001,0.0001
153.00,0.0003,0.0001,0.0004
154.00,0.0003,-0.0000,-0.0000
155.00,0.0003,0.0001,0.0004
156.00,0.0003,0.0001,0.0001
157.00,0.0003,0.0001,0.0002
158.00,0.0004,0.0001,0.0002
159.00,0.0003,0.0002,0.0003
160.00,0.0003,0.0002,0.0002
161.00,0.0002,-0.0000,0.0002
162.00,0.0003,0.0002,0.0002
163.00,0.0002,-0.0000,0.0003
164.00,0.0002,0.0000,0.0003
165.00,0.0004,0.0001,0.0004
166.00,0.0003,0.0001,0.0004
167.00,0.0002,0.0004,0.0005
168.00,0.0005,0.0005,0.0006
169.00,0.0008,0.0005,0.0008
170.00,0.0006,0.0007,0.0008
171.00,0.0017,0.0018,0.0023
172.00,0.0038,0.0041,0.0050
173.00,0.0047,0.0045,0.0057
174.00,0.0014,0.0014,0.0016
175.00,0.0010,0.0011,0.0012
176.00,0.0007,0.0007,0.0008
177.00,0.0004,0.0005,0.0005
178.00,0.0003,0.0004,0.0004
179.00,0.0003,0.0004,0.0003
180.00,0.0003,0.0002,0.0003
181.00,0.0002,0.0003,0.0003
182.00,0.0001,0.0000,0.0002
183.00,0.0004,-0.0000,0.0001
184.00,0.0002,0.0000,0.0002
185.00,0.0002,-0.0000,0.0001
186.00,0.0005,0.0000,0.0001
187.00,0.0003,0.0000,0.0002
188.00,0.0001,0.0002,0.0001
189.00,0.0002,0.0000,0.0003
190.00,0.0001,0.0000,0.0001
191.00,0.0001,0.0000,0.0002
192.00,0.0006,-0.0002,0.0002
193.00,0.0006,0.0000,0.0002
194.00,0.0005,-0.0000,0.0003
195.00,0.0006,0.0000,0.0002
196.00,0.0009,0.0001,0.0005
197.00,0.0008,-0.0001,0.0006
198.00,0.0011,0.0001,0.0007
199.00,0.0014,-0.0000,0.0010
200.00,0.0028,0.0003,0.0018
201.00,0.0080,0.0005,0.0054
202.00,0.0109,0.0010,0.0081
203.00,0.0033,0.0003,0.0025
204.00,0.0018,0.0001,0.0011
205.00,0.0009,0.0002,0.0008
206.00,0.0009,0.0001,0.0008
207.00,0.0006,-0.0000,0.0003
208.00,0.0005,-0.0000,0.0005
209.00,0.0005,0.0001,0.0002
210.00,0.0004,-0.0001,0.0002
211.00,0.0003,-0.0000,0.0002
212.00,0.0003,-0.0000,0.0003
213.00,0.0004,-0.0000,0.0003
214.00,0.0003,-0.0002,0.0002
215.00,0.0003,0.0001,0.0005
216.00,0.0001,0.0000,0.0002
217.00,0.0003,-0.0001,0.0001
218.00,0.0003,-0.0000,0.0002
219.00,0.0002,0.0000,0.0003
220.00,0.0003,0.0000,0.0001
221.00,0.0002,0.0000,0.0004
222.00,0.0004,0.0000,0.0004
223.00,0.0003,0.0000,0.0001
224.00,0.0004,0.0001,0.0006
