f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0007,0.0002,0.0002
2.00,0.0006,0.0002,0.0001
3.00,0.0006,0.0001,0.0001
4.00,0.0008,0.0002,0.0001
5.00,0.0009,0.0002,0.0002
6.00,0.0009,0.0002,0.0002
7.00,0.0009,0.0002,0.0002
8.00,0.0010,0.0002,0.0003
9.00,0.0008,0.0002,0.0002
10.00,0.0008,0.0002,0.0003
11.00,0.0009,0.0002,0.0002
12.00,0.0010,0.0002,0.0002
13.00,0.0013,0.0002,0.0002
14.00,0.0016,0.0003,0.0003
15.00,0.0019,0.0003,0.0004
16.00,0.0020,0.0004,0.0003
17.00,0.0022,0.0004,0.0004
18.00,0.0024,0.0005,0.0007
19.00,0.0017,0.0002,0.0002
20.00,0.0024,0.0005,0.0004
21.00,0.0031,0.0008,0.0007
22.00,0.0030,0.0006,0.0005
23.00,0.0046,0.0010,0.0010
24.00,0.0065,0.0016,0.0013
25.00,0.0081,0.0018,0.0016
26.00,0.0109,0.0024,0.0022
27.00,0.0188,0.0045,0.0039
28.00,0.0442,0.0109,0.0095
29.00,0.0548,0.0134,0.0119
30.00,0.0196,0.0046,0.0041
31.00,0.0133,0.0031,0.0026
32.00,0.0064,0.0015,0.0012
33.00,0.0067,0.0016,0.0013
34.00,0.0063,0.0014,0.0011
35.00,0.0050,0.0010,0.0010
36.00,0.0038,0.0008,0.0007
37.00,0.0038,0.0008,0.0007
38.00,0.0031,0.0004,0.0006
39.00,0.0019,0.0003,0.0002
40.00,0.0023,0.0003,0.0005
41.00,0.0027,0.0005,0.0005
42.00,0.0015,0.0002,0.0002
43.00,0.0019,0.0003,0.0003
44.00,0.0022,0.0003,0.0003
45.00,0.0020,0.0003,0.0004
46.00,0.0014,0.0001,0.0002
47.00,0.0016,0.0003,0.0003
48.00,0.0015,0.0003,0.0003
49.00,0.0009,0.0001,0.0001
50.00,0.0011,0.0001,0.0001
51.00,0.0013,0.0004,0.0001
52.00,0.0008,0.0002,0.0002
53.00,0.0012,0.0001,0.0002
54.00,0.0014,0.0001,0.0003
55.00,0.0014,0.0001,0.0003
56.00,0.0015,0.0001,0.0004
57.00,0.0080,0.0014,0.0021
58.00,0.0021,0.0005,0.0003
59.00,0.0015,0.0004,0.0005
60.00,0.0009,0.0001,0.0002
61.00,0.0009,0.0002,0.0002
62.00,0.0008,0.0001,0.0001
63.00,0.0007,0.0000,-0.0000
64.00,0.0008,-0.0000,-0.0000
65.00,0.0010,0.0001,0.0001
66.00,0.0006,0.0000,0.0000
67.00,0.0007,0.0001,0.0000
68.00,0.0006,-0.0000,0.0001
69.00,0.0004,0.0000,0.0002
70.00,0.0005,0.0001,0.0001
71.00,0.0007,0.0000,0.0002
72.00,0.0005,0.0002,0.0002
73.00,0.0005,0.0000,0.0001
74.00,0.0005,0.0002,0.0001
75.00,0.0006,0.0001,0.0001
76.00,0.0006,0.0000,0.0001
77.00,0.0005,0.0002,0.0001
78.00,0.0005,-0.0000,0.0002
79.00,0.0004,0.0002,-0.0001
80.00,0.0005,0.0001,0.0002
81.00,0.0005,0.0000,0.0001
82.00,0.0004,0.0003,0.0003
83.00,0.0005,0.0002,0.0000
84.00,0.0005,0.0004,0.0001
85.00,0.0006,0.0009,0.0002
86.00,0.0011,0.0015,0.0004
87.00,0.0006,0.0007,0.0003
88.00,0.0004,0.0003,0.0002
89.00,0.0003,0.0002,0.0001
90.00,0.0005,0.0001,0.0000
91.00,0.0003,0.0001,0.0001
92.00,0.0004,0.0001,0.0000
93.00,0.0004,0.0002,0.0000
94.00,0.0005,0.0001,0.0000
95.00,0.0004,0.0000,0.0001
96.00,0.0003,0.0001,0.0002
97.00,0.0004,0.0000,-0.0000
98.00,0.0003,0.0001,0.0002
99.00,0.0002,0.0001,0.0001
100.00,0.0004,0.0001,0.0002
101.00,0.0002,0.0001,0.0001
102.00,0.0003,0.0000,0.0000
103.00,0.0003,0.0001,0.0001
104.00,0.0004,0.0002,0.0002
105.00,0.0004,0.0001,0.0001
106.00,0.0004,0.0002,0.0001
107.00,0.0002,0.0002,0.0003
108.00,0.0004,0.0003,0.0002
109.00,0.0003,0.0002,0.0002
110.00,0.0005,0.0007,0.0003
111.00,0.0004,0.0007,0.0002
112.00,0.0005,0.0007,0.0005
113.00,0.0010,0.0015,0.0010
114.00,0.0036,0.0056,0.0033
115.00,0.0025,0.0041,0.0025
116.00,0.0014,0.0024,0.0013
