f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0005,0.0002,0.0000
2.00,0.0006,0.0003,0.0000
3.00,0.0006,0.0002,0.0001
4.00,0.0006,0.0003,0.0001
5.00,0.0007,0.0003,0.0001
6.00,0.0008,0.0002,0.0001
7.00,0.0006,0.0002,0.0001
8.00,0.0003,0.0002,0.0000
9.00,0.0005,0.0002,0.0000
10.00,0.0008,0.0003,0.0001
11.00,0.0009,0.0002,0.0001
12.00,0.0012,0.0003,0.0000
13.00,0.0011,0.0003,0.0001
14.00,0.0013,0.0004,0.0002
15.00,0.0015,0.0003,0.0002
16.00,0.0017,0.0004,0.0003
17.00,0.0013,0.0004,0.0003
18.00,0.0004,0.0001,0.0000
19.00,0.0012,0.0004,0.0001
20.00,0.0023,0.0007,0.0004
21.00,0.0028,0.0008,0.0004
22.00,0.0040,0.0012,0.0008
23.00,0.0043,0.0011,0.0008
24.00,0.0049,0.0015,0.0010
25.00,0.0074,0.0022,0.0014
26.00,0.0110,0.0032,0.0022
27.00,0.0178,0.0053,0.0037
28.00,0.0552,0.0171,0.0116
29.00,0.0149,0.0045,0.0030
30.00,0.0110,0.0032,0.0021
31.00,0.0070,0.0021,0.0013
32.00,0.0067,0.0018,0.0012
33.00,0.0048,0.0014,0.0009
34.00,0.0036,0.0008,0.0005
35.00,0.0031,0.0008,0.0005
36.00,0.0025,0.0005,0.0003
37.00,0.0018,0.0005,0.0004
38.00,0.0006,0.0000,0.0001
39.00,0.0011,0.0002,0.0002
40.00,0.0018,0.0003,0.0001
41.00,0.0014,0.0002,0.0003
42.00,0.0020,0.0004,0.0003
43.00,0.0015,0.0004,0.0003
44.00,0.0014,0.0002,0.0001
45.00,0.0013,0.0002,0.0003
46.00,0.0010,0.0001,0.0002
47.00,0.0008,0.0001,0.0002
48.00,0.0005,0.0000,0.0001
49.00,0.0006,0.0001,0.0001
50.00,0.0011,0.0001,0.0002
51.00,0.0011,0.0001,0.0002
52.00,0.0011,0.0002,0.0001
53.00,0.0011,0.0003,0.0001
54.00,0.0014,0.0002,0.0001
55.00,0.0029,0.0006,0.0005
56.00,0.0075,0.0018,0.0018
57.00,0.0019,0.0007,0.0002
58.00,0.0009,0.0002,0.0001
59.00,0.0009,-0.0001,0.0002
60.00,0.0009,0.0001,0.0001
61.00,0.0005,0.0000,0.0002
62.00,0.0008,0.0000,0.0001
63.00,0.0007,0.0001,0.0001
64.00,0.0004,0.0001,0.0001
65.00,0.0005,0.0000,0.0001
66.00,0.0004,0.0001,0.0000
67.00,0.0004,0.0001,0.0000
68.00,0.0003,0.0001,-0.0000
69.00,0.0004,0.0002,0.0000
70.00,0.0004,0.0001,0.0001
71.00,0.0005,0.0001,0.0001
72.00,0.0004,0.0001,0.0002
73.00,0.0004,0.0002,0.0001
74.00,0.0004,0.0001,0.0000
75.00,0.0004,0.0000,0.0001
76.00,0.0002,0.0002,0.0000
77.00,0.0001,0.0001,0.0002
78.00,0.0002,0.0001,0.0002
79.00,0.0004,0.0002,0.0001
80.00,0.0003,0.0002,-0.0000
81.00,0.0004,0.0003,0.0001
82.00,0.0003,0.0004,0.0000
83.00,0.0006,0.0009,0.0002
84.00,0.0012,0.0019,0.0002
85.00,0.0006,0.0012,0.0002
86.00,0.0003,0.0004,0.0001
87.00,0.0002,0.0003,-0.0000
88.00,0.0002,0.0001,0.0001
89.00,0.0003,0.0001,0.0001
90.00,0.0003,0.0001,0.0001
91.00,0.0003,0.0001,0.0000
92.00,0.0002,0.0000,-0.0000
93.00,0.0002,0.0001,0.0000
94.00,0.0002,0.0001,0.0001
95.00,0.0002,0.0001,0.0001
96.00,0.0002,0.0001,-0.0000
97.00,0.0002,0.0003,0.0001
98.00,0.0002,0.0001,0.0001
99.00,0.0002,0.0001,0.0001
100.00,0.0000,0.0001,-0.0001
101.00,0.0002,0.0002,0.0001
102.00,0.0003,0.0001,-0.0000
103.00,0.0001,0.0002,0.0001
104.00,0.0001,0.0003,0.0001
105.00,0.0004,0.0003,0.0002
106.00,0.0003,0.0006,0.0002
107.00,0.0005,0.0008,0.0003
108.00,0.0003,0.0008,0.0001
109.00,0.0005,0.0010,0.0001
110.00,0.0010,0.0019,0.0006
111.00,0.0027,0.0055,0.0021
112.00,0.0043,0.0083,0.0035
113.00,0.0027,0.0051,0.0019
114.00,0.0013,0.0022,0.0010
115.00,0.0007,0.0012,0.0003
116.00,0.0005,0.0010,0.0006
117.00,0.0005,0.0008,0.0003
118.00,0.0004,0.0006,0.0004
119.00,0.0003,0.0005,0.0002
120.00,0.0003,0.0005,0.0001
121.00,0.0004,0.0004,0.0002
122.00,0.0002,-0.0000,0.0001
123.00,0.0002,0.0002,0.0000
124.00,0.0003,0.0003,0.0001
125.00,0.0003,0.0003,0.0002
126.00,0.0002,0.0003,0.0001
127.00,0.0003,0.0002,0.0001
128.00,-0.0000,0.0001,0.0002
129.00,0.0002,0.0002,0.0004
130.00,0.0002,0.0001,0.0002
131.00,0.0004,0.0002,0.0003
132.00,0.0004,0.0001,0.0001
133.00,0.0004,0.0001,0.0002
134.00,0.0003,0.0002,0.0005
135.00,0.0004,0.0001,0.0005
136.00,0.0007,0.0003,0.0004
137.00,0.0007,0.0002,0.0007
138.00,0.0012,0.0005,0.0013
139.00,0.0022,0.0009,0.0021
140.00,0.0043,0.0016,0.0046
141.00,0.0043,0.0016,0.0044
142.00,0.0014,0.0004,0.0015
143.00,0.0007,0.0002,0.0008
144.00,0.0006,0.0001,0.0004
145.00,0.0005,0.0000,0.0004
146.00,0.0003,0.0000,0.0005
147.00,0.0002,0.0001,0.0004
148.00,0.0004,0.0000,0.0003
149.00,0.0003,0.0002,0.0003
150.00,0.0003,0.0002,0.0002
151.00,0.0004,0.0001,0.0003
152.00,0.0003,0.0001,0.0002
153.00,0.0004,0.0001,0.0001
154.00,0.0003,0.0002,0.0000
155.00,0.0004,0.0002,0.0002
156.00,0.0002,0.0001,0.0004
157.00,0.0001,0.0003,0.0003
158.00,0.0002,0.0002,0.0003
159.00,0.0004,0.0001,0.0002
160.00,0.0003,0.0001,0.0004
161.00,0.0004,0.0001,0.0002
162.00,0.0006,0.0003,0.0003
163.00,0.0006,0.0004,0.0006
164.00,0.0009,0.0007,0.0007
165.00,0.0010,0.0007,0.0008
166.00,0.0020,0.0015,0.0021
167.00,0.0035,0.0029,0.0039
168.00,0.0051,0.0048,0.0050
169.00,0.0042,0.0044,0.0038
170.00,0.0018,0.0016,0.0014
171.00,0.0008,0.0007,0.0008
