f,x,y,z
0.00,0.0000,0.0000,0.0000
1.00,0.0009,0.0003,0.0001
2.00,0.0010,0.0003,0.0001
3.00,0.0010,0.0002,0.0001
4.00,0.0011,0.0002,0.0002
5.00,0.0013,0.0003,0.0002
6.00,0.0013,0.0003,0.0002
7.00,0.0012,0.0003,0.0002
8.00,0.0011,0.0003,0.0001
9.00,0.0010,0.0003,0.0001
10.00,0.0011,0.0003,0.0001
11.00,0.0014,0.0003,0.0002
12.00,0.0012,0.0003,0.0001
13.00,0.0014,0.0003,0.0001
14.00,0.0019,0.0005,0.0003
15.00,0.0022,0.0005,0.0003
16.00,0.0023,0.0005,0.0004
17.00,0.0024,0.0007,0.0003
18.00,0.0026,0.0008,0.0003
19.00,0.0019,0.0005,0.0001
20.00,0.0027,0.0006,0.0005
21.00,0.0037,0.0011,0.0006
22.00,0.0032,0.0009,0.0005
23.00,0.0045,0.0012,0.0009
24.00,0.0068,0.0019,0.0014
25.00,0.0088,0.0026,0.0017
26.00,0.0104,0.0031,0.0022
27.00,0.0183,0.0056,0.0040
28.00,0.0473,0.0145,0.0108
29.00,0.0515,0.0156,0.0117
30.00,0.0189,0.0055,0.0042
31.00,0.0126,0.0037,0.0028
32.00,0.0058,0.0015,0.0011
33.00,0.0062,0.0018,0.0012
34.00,0.0059,0.0016,0.0013
35.00,0.0045,0.0014,0.0010
36.00,0.0037,0.0010,0.0007
37.00,0.0034,0.0008,0.0006
38.00,0.0031,0.0007,0.0007
39.00,0.0013,0.0003,0.0003
40.00,0.0021,0.0004,0.0003
41.00,0.0021,0.0004,0.0003
42.00,0.0013,0.0003,0.0002
43.00,0.0018,0.0006,0.0002
44.00,0.0020,0.0005,0.0002
45.00,0.0015,0.0004,0.0002
46.00,0.0015,0.0003,0.0002
47.00,0.0015,0.0002,0.0003
48.00,0.0013,0.0001,0.0001
49.00,0.0007,0.0001,0.0001
50.00,0.0012,0.0001,0.0003
51.00,0.0011,0.0002,0.0002
52.00,0.0006,0.0002,0.0001
53.00,0.0010,0.0002,0.0002
54.00,0.0010,0.0002,0.0002
55.00,0.0009,0.0002,0.0002
56.00,0.0017,0.0002,0.0005
57.00,0.0069,0.0015,0.0015
58.00,0.0019,0.0006,0.0004
59.00,0.0008,0.0003,0.0001
60.00,0.0010,0.0002,0.0003
61.00,0.0008,0.0001,0.0002
62.00,0.0004,0.0000,0.0001
63.00,0.0009,0.0001,-0.0000
64.00,0.0009,0.0001,0.0001
65.00,0.0006,-0.0000,0.0001
66.00,0.0005,0.0001,-0.0001
67.00,0.0006,0.0001,0.0001
68.00,0.0005,0.0000,0.0001
69.00,0.0002,0.0002,-0.0000
70.00,0.0005,-0.0000,0.0000
71.00,0.0006,-0.0000,0.0001
72.00,0.0003,0.0001,0.0001
73.00,0.0006,0.0001,0.0001
74.00,0.0006,0.0000,0.0000
75.00,0.0005,0.0001,-0.0000
76.00,0.0005,0.0001,-0.0000
77.00,0.0005,0.0001,0.0001
78.00,0.0005,0.0001,0.0001
79.00,0.0002,0.0000,-0.0000
80.00,0.0005,0.0002,0.0001
81.00,0.0004,0.0002,0.0000
82.00,0.0005,0.0002,0.0002
83.00,0.0005,0.0002,0.0000
84.00,0.0005,0.0002,0.0001
85.00,0.0009,0.0009,0.0002
86.00,0.0012,0.0016,0.0004
87.00,0.0005,0.0005,0.0001
88.00,0.0002,0.0003,0.0003
89.00,0.0001,0.0001,0.0002
90.00,0.0002,0.0002,0.0000
91.00,0.0003,0.0002,0.0000
92.00,0.0002,0.0000,-0.0001
93.00,0.0003,0.0001,-0.0000
94.00,0.0003,0.0001,0.0000
95.00,0.0003,0.0000,0.0001
96.00,0.0002,0.0001,-0.0000
97.00,0.0001,0.0001,0.0002
98.00,0.0002,0.0001,0.0001
99.00,0.0002,0.0000,0.0001
100.00,0.0002,0.0001,0.0002
101.00,0.0000,0.0000,0.0002
102.00,0.0002,0.0001,-0.0001
103.00,0.0002,0.0001,-0.0001
104.00,0.0002,0.0003,0.0002
105.00,0.0003,0.0001,0.0000
106.00,0.0003,0.0003,0.0001
107.00,0.0003,0.0003,0.0002
108.00,0.0002,0.0002,0.0002
109.00,0.0002,0.0002,-0.0000
110.00,0.0005,0.0007,0.0003
111.00,0.0004,0.0006,0.0005
112.00,0.0004,0.0005,0.0003
113.00,0.0010,0.0018,0.0008
114.00,0.0034,0.0059,0.0036
115.00,0.0023,0.0032,0.0019
116.00,0.0014,0.0020,0.0012
117.00,0.0008,0.0012,0.0007
118.00,0.0006,0.0008,0.0005
119.00,0.0002,0.0004,0.0003
120.00,0.0005,0.0005,0.0001
121.00,0.0004,0.0004,0.0002
122.00,0.0002,0.0002,0.0000
123.00,0.0004,0.0002,0.0000
124.00,0.0005,0.0003,0.0000
125.00,0.0003,0.0001,0.0001
126.00,0.0001,0.0001,0.0003
127.00,0.0002,0.0001,0.0001
128.00,0.0002,0.0001,0.0003
129.00,0.0002,0.0001,0.0002
130.00,0.0001,0.0001,0.0002
131.00,0.0003,0.0000,0.0001
132.00,0.0003,0.0000,0.0001
133.00,0.0003,0.0002,0.0001
134.00,0.0004,0.0001,0.0002
135.00,0.0004,0.0000,0.0003
136.00,0.0005,0.0001,0.0003
137.00,0.0004,0.0000,0.0005
